run,seed,arm,frame_downstream_gradient_mode,selected_best_epoch,accuracy,macro_f1,support_recall,refute_recall,not_entitled_recall,support_precision,false_not_entitled_count,false_entitlement_count,polarity_error_count,prediction_counts,mean_frame_probability_by_gold_label,mean_frame_probability_by_intervention_type,mean_frame_probability_by_recurrent_set,persistent_stable_support_negative_count,stable_support_correct_count,unstable_support_count,persistent_refute_polarity_error_count,persistent_false_entitlement_count,framegate_failure_count_among_persistent_support_negatives,baseline_defined_stable_correct_support_count,intervention_preserved_support_count,intervention_changed_to_not_entitled_count,intervention_changed_to_refute_count,intervention_unstable_control_count,stable_correct_support_preservation_rate
seed183_joint,183,baseline,joint,20,0.9013888888888889,0.8486584487651966,0.6292134831460674,1.0,0.9296296296296296,0.5957446808510638,33,38,0,"{""NOT_ENTITLED"":535,""REFUTE"":91,""SUPPORT"":94}","{""NOT_ENTITLED"":0.4199922407407407,""REFUTE"":0.9310801208791208,""SUPPORT"":0.5027327752808989}","{""entity_swap"":0.18094791666666668,""event_swap"":0.22685451666666667,""evidence_deletion"":0.9638907666666667,""evidence_truncation"":0.94164375,""irrelevant_evidence"":0.015160333333333333,""location_swap"":0.43056398333333334,""none"":0.7055767166666667,""paraphrase"":0.7760919166666667,""polarity_flip"":0.6761898333333334,""predicate_swap"":0.54764325,""role_swap"":0.3418452833333333,""title_name_swap"":0.13138036666666666}","{""stage196a_baseline_recurrent"":0.33294954545454547,""stage196a_common_recurrent"":0.3243286842105263,""stage196a_intervention_recurrent"":0.3243286842105263,""stage196a_universal_all_six"":0.2912296}",26,52,11,0,36,26,52,,,,,
seed183_frame_local_only,183,intervention,frame_local_only,20,0.8986111111111111,0.7838105117496919,0.30337078651685395,0.989010989010989,0.9814814814814815,0.7105263157894737,61,10,2,"{""NOT_ENTITLED"":591,""REFUTE"":91,""SUPPORT"":38}","{""NOT_ENTITLED"":0.3760346925925926,""REFUTE"":0.9424468241758241,""SUPPORT"":0.44070620224719104}","{""entity_swap"":0.19712018333333334,""event_swap"":0.1727715833333333,""evidence_deletion"":0.9927883000000001,""evidence_truncation"":0.9800534,""irrelevant_evidence"":0.012637,""location_swap"":0.2343641,""none"":0.6015176666666666,""paraphrase"":0.9265350333333333,""polarity_flip"":0.5550391833333334,""predicate_swap"":0.3686245833333333,""role_swap"":0.23775118333333334,""title_name_swap"":0.1882019}","{""stage196a_baseline_recurrent"":0.1845465,""stage196a_common_recurrent"":0.18808526315789473,""stage196a_intervention_recurrent"":0.18808526315789473,""stage196a_universal_all_six"":0.1902549}",31,26,32,0,10,31,52,23,11,0,18,0.4423076923076923
seed184_joint,184,baseline,joint,18,0.8833333333333333,0.8293543136190994,0.6179775280898876,1.0,0.9074074074074074,0.5238095238095238,34,50,0,"{""NOT_ENTITLED"":524,""REFUTE"":91,""SUPPORT"":105}","{""NOT_ENTITLED"":0.39201887037037036,""REFUTE"":0.8811279670329669,""SUPPORT"":0.4054404494382023}","{""entity_swap"":0.16794203333333335,""event_swap"":0.22018455,""evidence_deletion"":0.9619107333333333,""evidence_truncation"":0.9115541166666666,""irrelevant_evidence"":0.013260966666666667,""location_swap"":0.3659396833333333,""none"":0.6424024500000001,""paraphrase"":0.66883925,""polarity_flip"":0.62653905,""predicate_swap"":0.43650141666666664,""role_swap"":0.3040477166666667,""title_name_swap"":0.1468286166666667}","{""stage196a_baseline_recurrent"":0.2696016363636364,""stage196a_common_recurrent"":0.2606711578947369,""stage196a_intervention_recurrent"":0.2606711578947369,""stage196a_universal_all_six"":0.24435289999999998}",34,11,44,0,6,34,11,,,,,
seed184_frame_local_only,184,intervention,frame_local_only,13,0.8833333333333333,0.7832207947540434,0.3595505617977528,1.0,0.95,0.5517241379310345,56,27,1,"{""NOT_ENTITLED"":569,""REFUTE"":93,""SUPPORT"":58}","{""NOT_ENTITLED"":0.4910654185185185,""REFUTE"":0.7502388241758241,""SUPPORT"":0.4834220786516854}","{""entity_swap"":0.4145104333333334,""event_swap"":0.4060992666666667,""evidence_deletion"":0.9898462166666667,""evidence_truncation"":0.8654296333333333,""irrelevant_evidence"":0.015478233333333334,""location_swap"":0.4293166166666667,""none"":0.5817779000000001,""paraphrase"":0.7010723333333334,""polarity_flip"":0.5720880666666667,""predicate_swap"":0.4503812833333333,""role_swap"":0.42614226666666666,""title_name_swap"":0.42238481666666666}","{""stage196a_baseline_recurrent"":0.40210799999999997,""stage196a_common_recurrent"":0.4007745789473684,""stage196a_intervention_recurrent"":0.4007745789473684,""stage196a_universal_all_six"":0.3963449}",50,18,21,0,10,50,11,5,2,0,4,0.45454545454545453
seed185_joint,185,baseline,joint,20,0.8986111111111111,0.8497949757193024,0.6629213483146067,1.0,0.9203703703703704,0.5784313725490197,30,43,0,"{""NOT_ENTITLED"":527,""REFUTE"":91,""SUPPORT"":102}","{""NOT_ENTITLED"":0.3949957870370371,""REFUTE"":0.8906065824175824,""SUPPORT"":0.43601064044943816}","{""entity_swap"":0.18330758333333333,""event_swap"":0.21091225,""evidence_deletion"":0.96419965,""evidence_truncation"":0.9280787833333334,""irrelevant_evidence"":0.013573066666666666,""location_swap"":0.34621878333333334,""none"":0.6440739833333333,""paraphrase"":0.7432849,""polarity_flip"":0.61014355,""predicate_swap"":0.42217941666666664,""role_swap"":0.31995498333333333,""title_name_swap"":0.1665375666666667}","{""stage196a_baseline_recurrent"":0.28633845454545453,""stage196a_common_recurrent"":0.2791853157894737,""stage196a_intervention_recurrent"":0.2791853157894737,""stage196a_universal_all_six"":0.2573096}",30,17,42,0,13,30,17,,,,,
seed185_frame_local_only,185,intervention,frame_local_only,20,0.8319444444444445,0.7774660783339664,0.5617977528089888,1.0,0.8481481481481481,0.3816793893129771,39,82,0,"{""NOT_ENTITLED"":497,""REFUTE"":92,""SUPPORT"":131}","{""NOT_ENTITLED"":0.5013903314814815,""REFUTE"":0.7786612637362638,""SUPPORT"":0.5218474044943819}","{""entity_swap"":0.44481101666666667,""event_swap"":0.41328709999999996,""evidence_deletion"":0.9864735166666667,""evidence_truncation"":0.8328468666666667,""irrelevant_evidence"":0.009880433333333332,""location_swap"":0.4479127833333333,""none"":0.6108797833333334,""paraphrase"":0.7421627,""polarity_flip"":0.60200075,""predicate_swap"":0.47280821666666667,""role_swap"":0.4516494,""title_name_swap"":0.45284365}","{""stage196a_baseline_recurrent"":0.42947613636363635,""stage196a_common_recurrent"":0.42646694736842106,""stage196a_intervention_recurrent"":0.42646694736842106,""stage196a_universal_all_six"":0.4292366}",39,35,15,0,46,34,17,14,0,0,3,0.8235294117647058
