scope,run,gate,required,observed,passed,blocking_reason
provenance,seed184_joint,p0_contract,"{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":184}","{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":184}",true,
alignment,seed184_joint,p0_sidecar_alignment,20 x 720,20 x 720,true,
run,seed184_frame_local_only,p0_artifacts,[],[],true,
run,seed184_frame_local_only,twenty_sidecars,20,20,true,
provenance,seed184_frame_local_only,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,"[""e9aaff24054f1d409119b70df13b94159a34a8e4"",""e9aaff24054f1d409119b70df13b94159a34a8e4""]",true,
provenance,seed184_frame_local_only,p0_contract,"{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":184}","{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":184}",true,
alignment,seed184_frame_local_only,p0_sidecar_alignment,20 x 720,20 x 720,true,
run,seed185_joint,p0_artifacts,[],[],true,
run,seed185_joint,twenty_sidecars,20,20,true,
provenance,seed185_joint,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,"[""e9aaff24054f1d409119b70df13b94159a34a8e4"",""e9aaff24054f1d409119b70df13b94159a34a8e4""]",true,
provenance,seed185_joint,p0_contract,"{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":185}","{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":185}",true,
alignment,seed185_joint,p0_sidecar_alignment,20 x 720,20 x 720,true,
run,seed185_frame_local_only,p0_artifacts,[],[],true,
run,seed185_frame_local_only,twenty_sidecars,20,20,true,
provenance,seed185_frame_local_only,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,"[""e9aaff24054f1d409119b70df13b94159a34a8e4"",""e9aaff24054f1d409119b70df13b94159a34a8e4""]",true,
provenance,seed185_frame_local_only,p0_contract,"{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":185}","{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":185}",true,
alignment,seed185_frame_local_only,p0_sidecar_alignment,20 x 720,20 x 720,true,
stage196b1c,,unique_common_recurrent_frame_delta_row,1,1,true,
stage196b1c,,recorded_frame_deltas_reproduced,"{""183"":-0.136243,""184"":0.140103,""185"":0.147282}","{""183"":-0.13624342105263157,""184"":0.14010342105263152,""185"":0.14728163157894736}",true,
stage196b1c,,derived_positive_and_contrast_seeds,"{""negative"":[183],""positive"":[184,185]}","{""negative"":[183],""positive"":[184,185]}",true,
