seed,analysis_view,population,propagation_category,count,denominator,rate,frame_up_count,frame_down_count,frame_fail_to_pass_count,frame_pass_to_fail_count,frame_up_predicate_positive_fraction,frame_up_entitlement_positive_fraction,frame_up_margin_improved_fraction,selected_support_propagation_fraction,tail3_stable_support_propagation_fraction,rescue_count,harm_count,persistent_failure_count,spearman_frame_predicate,spearman_frame_entitlement,spearman_frame_final_margin,sign_concordance_frame_entitlement,sign_concordance_frame_final_margin
183,selected,stage196a_intervention_recurrent,POLARITY_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_intervention_recurrent,ENTITLEMENT_AGGREGATION_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_intervention_recurrent,FINAL_COMPOSITION_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_intervention_recurrent,MULTI_CHANNEL_DEGRADATION,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_intervention_recurrent,PROPAGATED_TO_SUPPORT,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_intervention_recurrent,UNRESOLVED_PROPAGATION,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,FRAME_REMAINS_SUBTHRESHOLD,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,PREDICATE_BLOCKED,1,1,1.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,SUFFICIENCY_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,POLARITY_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,ENTITLEMENT_AGGREGATION_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,FINAL_COMPOSITION_BLOCKED,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,MULTI_CHANNEL_DEGRADATION,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,PROPAGATED_TO_SUPPORT,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_common_recurrent,UNRESOLVED_PROPAGATION,0,1,0.0,1,18,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.5912280701754385,0.8403508771929824,0.8403508771929824,1.0,1.0
183,selected,stage196a_universal_all_six,FRAME_REMAINS_SUBTHRESHOLD,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,PREDICATE_BLOCKED,1,1,1.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,SUFFICIENCY_BLOCKED,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,POLARITY_BLOCKED,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,ENTITLEMENT_AGGREGATION_BLOCKED,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,FINAL_COMPOSITION_BLOCKED,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,MULTI_CHANNEL_DEGRADATION,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,PROPAGATED_TO_SUPPORT,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,stage196a_universal_all_six,UNRESOLVED_PROPAGATION,0,1,0.0,1,9,1,0,0.0,1.0,1.0,0.0,,0,29,31,0.7454545454545455,0.9515151515151515,0.9515151515151515,1.0,1.0
183,selected,joint_persistent_support_to_not_entitled,FRAME_REMAINS_SUBTHRESHOLD,1,3,0.3333333333333333,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,PREDICATE_BLOCKED,1,3,0.3333333333333333,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,SUFFICIENCY_BLOCKED,0,3,0.0,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,POLARITY_BLOCKED,1,3,0.3333333333333333,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,ENTITLEMENT_AGGREGATION_BLOCKED,0,3,0.0,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,FINAL_COMPOSITION_BLOCKED,0,3,0.0,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,MULTI_CHANNEL_DEGRADATION,0,3,0.0,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,PROPAGATED_TO_SUPPORT,0,3,0.0,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,joint_persistent_support_to_not_entitled,UNRESOLVED_PROPAGATION,0,3,0.0,3,23,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,0,29,31,0.68,0.8837606837606837,0.8830769230769231,0.9230769230769231,0.9230769230769231
183,selected,intervention_persistent_support_to_not_entitled,FRAME_REMAINS_SUBTHRESHOLD,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,PREDICATE_BLOCKED,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,SUFFICIENCY_BLOCKED,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
