run_id,config_fingerprint,base_config_fingerprint,observer_config_fingerprint,seed,observer_mode,target_family,ema_decay
control_off_none,5f5406d6f428880cdefefd25ec8c7b08a514e75162a5e355f161888841a762bc,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,e8ad2c7e31a4f50ead71cf8a8e9b681a7bd86b93887121d59589da5b5fe90e33,183,off,none,
previous_step_direction,e68e2de49d5432414c7a6e614b1b8539fac33ddda5e80e66ac8f7a8611eff242,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,de7fc6d16278566072cd82a272037ebba7c55509818d9c9a0785d6012835b9b0,183,previous_step,direction,
previous_step_candidate_order,391c90152bc56802d2383cefcaf284468a8f92878455d9e5dc3926bd3d686c93,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,dc430d645a8e56e5a8994e2b5e87d700ccdbd3e8ceb11c07f0cb06a4552d7a82,183,previous_step,candidate_order,
previous_epoch_direction,58b49d4c1921c3cbf7f85eaff209a1b9951f693b9bf024911bfeeab59f83676a,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,eb6ef5c73517bdb1370c8418dbb5854acd816af3ae922c06834f5a8f989e37c0,183,previous_epoch,direction,
previous_epoch_candidate_order,f9eb245700c8e9933cd75325756a27369232c4b0d98b9e330f78b73bb57768ae,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,84f34cf2e8296cf4be7bba2faf3513f3cd02d9fa300a768d5c8634cfdbfc8202,183,previous_epoch,candidate_order,
ema_direction,18baf25d0cc6846233915214bebb5e0d3b6b5718d4d9ad06314f0172f2075840,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,fff52ad466440eff0678e3b55c8f1a01db0216f2981c696fb05bf5abdd771a87,183,ema,direction,0.99
ema_candidate_order,97b80a3fcba96b69149bee8a36fd08cfd4f7574c01895019efe7e3e44355c0d6,a5fe586a17bd2510da6dd6be2eff11f83f4f5f537dbff4163f6cbce06beae883,7905af283c7a760f078f63bea22f7c4f55aa7102e7065a7ec8d50be559052398,183,ema,candidate_order,0.99
