scope,run,gate,required,observed,passed,blocking_reason
source,,b2b2_seed185_harm_multichannel_sign_closure,"{""all_finite"":true,""all_strictly_negative"":true,""expected_row_count"":3,""required_fields"":[""tail3_delta_frame"",""tail3_delta_predicate"",""tail3_delta_entitlement"",""tail3_delta_margin""]}","{""all_finite"":true,""all_strictly_negative"":true,""expected_row_count"":3,""observed_row_count"":3,""required_fields"":[""tail3_delta_frame"",""tail3_delta_predicate"",""tail3_delta_entitlement"",""tail3_delta_margin""],""rows"":[{""dev_position"":48,""id"":""reef_protection__none"",""path_class"":""MULTI_CHANNEL_CONFLICT"",""seed"":185,""source_row_id"":""reef_protection__none"",""stable_row_id"":""reef_protection__none"",""tail3_delta_entitlement"":-0.0728482852379481,""tail3_delta_frame"":-0.13541012008984885,""tail3_delta_margin"":-0.34254980087280273,""tail3_delta_predicate"":-0.0020291805267333984},{""dev_position"":84,""id"":""generated_fact_045__none"",""path_class"":""MULTI_CHANNEL_CONFLICT"",""seed"":185,""source_row_id"":""generated_fact_045__none"",""stable_row_id"":""generated_fact_045__none"",""tail3_delta_entitlement"":-0.06259819865226746,""tail3_delta_frame"":-0.0930954913298289,""tail3_delta_margin"":-0.282073438167572,""tail3_delta_predicate"":-0.016360104084014893},{""dev_position"":683,""id"":""generated_fact_285__polarity_flip"",""path_class"":""MULTI_CHANNEL_CONFLICT"",""seed"":185,""source_row_id"":""generated_fact_285__polarity_flip"",""stable_row_id"":""generated_fact_285__polarity_flip"",""tail3_delta_entitlement"":-0.06582849224408467,""tail3_delta_frame"":-0.10642015933990479,""tail3_delta_margin"":-0.2977447509765625,""tail3_delta_predicate"":-0.0032250682512919107}]}",true,
population,,b2b2_twenty_epochs_per_primary_identity,20,"{""counts"":[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20],""identities"":16}",true,
p0,,p0_exact_six_run_closure,"[""seed183_frame_local_only"",""seed183_joint"",""seed184_frame_local_only"",""seed184_joint"",""seed185_frame_local_only"",""seed185_joint""]","[""seed183_frame_local_only"",""seed183_joint"",""seed184_frame_local_only"",""seed184_joint"",""seed185_frame_local_only"",""seed185_joint""]",true,
p0,seed183_joint,exact_composer_namespace,"[""stage196b2b3p0_composer_input_manifest.json"",""stage196b2b3p0_epoch_composer_inputs_001.jsonl"",""stage196b2b3p0_epoch_composer_inputs_002.jsonl"",""stage196b2b3p0_epoch_composer_inputs_003.jsonl"",""stage196b2b3p0_epoch_composer_inputs_004.jsonl"",""stage196b2b3p0_epoch_composer_inputs_005.jsonl"",""stage196b2b3p0_epoch_composer_inputs_006.jsonl"",""stage196b2b3p0_epoch_composer_inputs_007.jsonl"",""stage196b2b3p0_epoch_composer_inputs_008.jsonl"",""stage196b2b3p0_epoch_composer_inputs_009.jsonl"",""stage196b2b3p0_epoch_composer_inputs_010.jsonl"",""stage196b2b3p0_epoch_composer_inputs_011.jsonl"",""stage196b2b3p0_epoch_composer_inputs_012.jsonl"",""stage196b2b3p0_epoch_composer_inputs_013.jsonl"",""stage196b2b3p0_epoch_composer_inputs_014.jsonl"",""stage196b2b3p0_epoch_composer_inputs_015.jsonl"",""stage196b2b3p0_epoch_composer_inputs_016.jsonl"",""stage196b2b3p0_epoch_composer_inputs_017.jsonl"",""stage196b2b3p0_epoch_composer_inputs_018.jsonl"",""stage196b2b3p0_epoch_composer_inputs_019.jsonl"",""stage196b2b3p0_epoch_composer_inputs_020.jsonl""]","[""stage196b2b3p0_composer_input_manifest.json"",""stage196b2b3p0_epoch_composer_inputs_001.jsonl"",""stage196b2b3p0_epoch_composer_inputs_002.jsonl"",""stage196b2b3p0_epoch_composer_inputs_003.jsonl"",""stage196b2b3p0_epoch_composer_inputs_004.jsonl"",""stage196b2b3p0_epoch_composer_inputs_005.jsonl"",""stage196b2b3p0_epoch_composer_inputs_006.jsonl"",""stage196b2b3p0_epoch_composer_inputs_007.jsonl"",""stage196b2b3p0_epoch_composer_inputs_008.jsonl"",""stage196b2b3p0_epoch_composer_inputs_009.jsonl"",""stage196b2b3p0_epoch_composer_inputs_010.jsonl"",""stage196b2b3p0_epoch_composer_inputs_011.jsonl"",""stage196b2b3p0_epoch_composer_inputs_012.jsonl"",""stage196b2b3p0_epoch_composer_inputs_013.jsonl"",""stage196b2b3p0_epoch_composer_inputs_014.jsonl"",""stage196b2b3p0_epoch_composer_inputs_015.jsonl"",""stage196b2b3p0_epoch_composer_inputs_016.jsonl"",""stage196b2b3p0_epoch_composer_inputs_017.jsonl"",""stage196b2b3p0_epoch_composer_inputs_018.jsonl"",""stage196b2b3p0_epoch_composer_inputs_019.jsonl"",""stage196b2b3p0_epoch_composer_inputs_020.jsonl""]",true,
p0,seed183_joint,exact_trajectory_namespace,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]",true,
p0,seed183_joint,manifest_completion_and_provenance,true,"{""commit"":""fa16787efa84bb15d832b6d9382fafd77016c4e2"",""completed"":true,""manifest_run_id"":""seed183_joint"",""mode"":""joint"",""run_name"":""single"",""seed"":183}",true,
p0,seed183_frame_local_only,exact_composer_namespace,"[""stage196b2b3p0_composer_input_manifest.json"",""stage196b2b3p0_epoch_composer_inputs_001.jsonl"",""stage196b2b3p0_epoch_composer_inputs_002.jsonl"",""stage196b2b3p0_epoch_composer_inputs_003.jsonl"",""stage196b2b3p0_epoch_composer_inputs_004.jsonl"",""stage196b2b3p0_epoch_composer_inputs_005.jsonl"",""stage196b2b3p0_epoch_composer_inputs_006.jsonl"",""stage196b2b3p0_epoch_composer_inputs_007.jsonl"",""stage196b2b3p0_epoch_composer_inputs_008.jsonl"",""stage196b2b3p0_epoch_composer_inputs_009.jsonl"",""stage196b2b3p0_epoch_composer_inputs_010.jsonl"",""stage196b2b3p0_epoch_composer_inputs_011.jsonl"",""stage196b2b3p0_epoch_composer_inputs_012.jsonl"",""stage196b2b3p0_epoch_composer_inputs_013.jsonl"",""stage196b2b3p0_epoch_composer_inputs_014.jsonl"",""stage196b2b3p0_epoch_composer_inputs_015.jsonl"",""stage196b2b3p0_epoch_composer_inputs_016.jsonl"",""stage196b2b3p0_epoch_composer_inputs_017.jsonl"",""stage196b2b3p0_epoch_composer_inputs_018.jsonl"",""stage196b2b3p0_epoch_composer_inputs_019.jsonl"",""stage196b2b3p0_epoch_composer_inputs_020.jsonl""]","[""stage196b2b3p0_composer_input_manifest.json"",""stage196b2b3p0_epoch_composer_inputs_001.jsonl"",""stage196b2b3p0_epoch_composer_inputs_002.jsonl"",""stage196b2b3p0_epoch_composer_inputs_003.jsonl"",""stage196b2b3p0_epoch_composer_inputs_004.jsonl"",""stage196b2b3p0_epoch_composer_inputs_005.jsonl"",""stage196b2b3p0_epoch_composer_inputs_006.jsonl"",""stage196b2b3p0_epoch_composer_inputs_007.jsonl"",""stage196b2b3p0_epoch_composer_inputs_008.jsonl"",""stage196b2b3p0_epoch_composer_inputs_009.jsonl"",""stage196b2b3p0_epoch_composer_inputs_010.jsonl"",""stage196b2b3p0_epoch_composer_inputs_011.jsonl"",""stage196b2b3p0_epoch_composer_inputs_012.jsonl"",""stage196b2b3p0_epoch_composer_inputs_013.jsonl"",""stage196b2b3p0_epoch_composer_inputs_014.jsonl"",""stage196b2b3p0_epoch_composer_inputs_015.jsonl"",""stage196b2b3p0_epoch_composer_inputs_016.jsonl"",""stage196b2b3p0_epoch_composer_inputs_017.jsonl"",""stage196b2b3p0_epoch_composer_inputs_018.jsonl"",""stage196b2b3p0_epoch_composer_inputs_019.jsonl"",""stage196b2b3p0_epoch_composer_inputs_020.jsonl""]",true,
p0,seed183_frame_local_only,exact_trajectory_namespace,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]",true,
p0,seed183_frame_local_only,manifest_completion_and_provenance,true,"{""commit"":""fa16787efa84bb15d832b6d9382fafd77016c4e2"",""completed"":true,""manifest_run_id"":""seed183_frame_local_only"",""mode"":""frame_local_only"",""run_name"":""single"",""seed"":183}",true,
p0,seed184_joint,exact_composer_namespace,"[""stage196b2b3p0_composer_input_manifest.json"",""stage196b2b3p0_epoch_composer_inputs_001.jsonl"",""stage196b2b3p0_epoch_composer_inputs_002.jsonl"",""stage196b2b3p0_epoch_composer_inputs_003.jsonl"",""stage196b2b3p0_epoch_composer_inputs_004.jsonl"",""stage196b2b3p0_epoch_composer_inputs_005.jsonl"",""stage196b2b3p0_epoch_composer_inputs_006.jsonl"",""stage196b2b3p0_epoch_composer_inputs_007.jsonl"",""stage196b2b3p0_epoch_composer_inputs_008.jsonl"",""stage196b2b3p0_epoch_composer_inputs_009.jsonl"",""stage196b2b3p0_epoch_composer_inputs_010.jsonl"",""stage196b2b3p0_epoch_composer_inputs_011.jsonl"",""stage196b2b3p0_epoch_composer_inputs_012.jsonl"",""stage196b2b3p0_epoch_composer_inputs_013.jsonl"",""stage196b2b3p0_epoch_composer_inputs_014.jsonl"",""stage196b2b3p0_epoch_composer_inputs_015.jsonl"",""stage196b2b3p0_epoch_composer_inputs_016.jsonl"",""stage196b2b3p0_epoch_composer_inputs_017.jsonl"",""stage196b2b3p0_epoch_composer_inputs_018.jsonl"",""stage196b2b3p0_epoch_composer_inputs_019.jsonl"",""stage196b2b3p0_epoch_composer_inputs_020.jsonl""]","[""stage196b2b3p0_composer_input_manifest.json"",""stage196b2b3p0_epoch_composer_inputs_001.jsonl"",""stage196b2b3p0_epoch_composer_inputs_002.jsonl"",""stage196b2b3p0_epoch_composer_inputs_003.jsonl"",""stage196b2b3p0_epoch_composer_inputs_004.jsonl"",""stage196b2b3p0_epoch_composer_inputs_005.jsonl"",""stage196b2b3p0_epoch_composer_inputs_006.jsonl"",""stage196b2b3p0_epoch_composer_inputs_007.jsonl"",""stage196b2b3p0_epoch_composer_inputs_008.jsonl"",""stage196b2b3p0_epoch_composer_inputs_009.jsonl"",""stage196b2b3p0_epoch_composer_inputs_010.jsonl"",""stage196b2b3p0_epoch_composer_inputs_011.jsonl"",""stage196b2b3p0_epoch_composer_inputs_012.jsonl"",""stage196b2b3p0_epoch_composer_inputs_013.jsonl"",""stage196b2b3p0_epoch_composer_inputs_014.jsonl"",""stage196b2b3p0_epoch_composer_inputs_015.jsonl"",""stage196b2b3p0_epoch_composer_inputs_016.jsonl"",""stage196b2b3p0_epoch_composer_inputs_017.jsonl"",""stage196b2b3p0_epoch_composer_inputs_018.jsonl"",""stage196b2b3p0_epoch_composer_inputs_019.jsonl"",""stage196b2b3p0_epoch_composer_inputs_020.jsonl""]",true,
p0,seed184_joint,exact_trajectory_namespace,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]",true,
p0,seed184_joint,manifest_completion_and_provenance,true,"{""commit"":""fa16787efa84bb15d832b6d9382fafd77016c4e2"",""completed"":true,""manifest_run_id"":""seed184_joint"",""mode"":""joint"",""run_name"":""single"",""seed"":184}",true,
