subtype,seed,transition_role,path_class,direction,variant,identity_count,donor_tail_reproduced_count,donor_tail_reproduced_rate,recipient_tail_preserved_count,recipient_tail_preserved_rate
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,3,3,1.0,0,0.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,3,3,1.0,0,0.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,3,0,0.0,3,1.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,3,0,0.0,3,1.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,3,0,0.0,3,1.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,3,3,1.0,0,0.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,3,3,1.0,0,0.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,3,1,0.3333333333333333,0,0.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,3,0,0.0,3,1.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,PREDICATE_ONLY,3,0,0.0,3,1.0
FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,185,harm,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,SUFFICIENCY_ONLY,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,3,3,1.0,0,0.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,3,0,0.0,2,0.6666666666666666
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,3,3,1.0,0,0.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,3,3,1.0,0,0.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,3,2,0.6666666666666666,0,0.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,PREDICATE_ONLY,3,0,0.0,3,1.0
POLARITY_OVERRIDE_ROWS,184,harm,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,SUFFICIENCY_ONLY,3,0,0.0,3,1.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,5,5,1.0,0,0.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,5,5,1.0,0,0.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,5,3,0.6,0,0.0
