run,seed,gradient_mode,epoch,row_count,maximum_entitlement_error,maximum_decision_head_error,maximum_branch_delta_sum_error,maximum_final_logit_error,maximum_margin_error,prediction_equality_rate
seed185_joint,185,joint,7,720,4.8714049238895996e-08,2.1594113785994296e-07,0.0,2.1594113785994296e-07,1.7854396006100615e-07,1.0
seed185_joint,185,joint,8,720,5.639025790760144e-08,2.0007408085831457e-07,0.0,2.087263095695846e-07,2.111391328440959e-07,1.0
seed185_joint,185,joint,9,720,4.8085362580607693e-08,1.9615294721830878e-07,0.0,1.969793452794022e-07,1.849303981060757e-07,1.0
seed185_joint,185,joint,10,720,5.61434524426474e-08,2.626359441038062e-07,0.0,2.626359441038062e-07,2.171540094408897e-07,1.0
seed185_joint,185,joint,11,720,5.345002329626425e-08,2.623479677943408e-07,0.0,2.623479677943408e-07,1.8221360598147385e-07,1.0
seed185_joint,185,joint,12,720,5.486812792998563e-08,2.589403664821077e-07,0.0,2.589403664821077e-07,1.9348094859594767e-07,1.0
seed185_joint,185,joint,13,720,4.6172791701160065e-08,2.6863482371908276e-07,0.0,2.6863482371908276e-07,2.278829605018018e-07,1.0
seed185_joint,185,joint,14,720,5.151280479953613e-08,2.7318052353564326e-07,0.0,2.7318052353564326e-07,2.1198553934453912e-07,1.0
seed185_joint,185,joint,15,720,5.4601540955268035e-08,2.894270574316238e-07,0.0,2.894270574316238e-07,2.808987744629121e-07,1.0
seed185_joint,185,joint,16,720,5.3999748894639765e-08,2.8294985199295297e-07,0.0,2.8294985199295297e-07,3.39486504463693e-07,1.0
seed185_joint,185,joint,17,720,5.411233428009865e-08,2.908175176230543e-07,0.0,2.908175176230543e-07,2.46235835166253e-07,1.0
seed185_joint,185,joint,18,720,5.326542729111594e-08,2.7920817835536127e-07,0.0,2.7920817835536127e-07,1.8001482793295054e-07,1.0
seed185_joint,185,joint,19,720,5.118638335410708e-08,3.1271877753979993e-07,0.0,3.1271877753979993e-07,2.3205569377182655e-07,1.0
seed185_joint,185,joint,20,720,5.152800575114469e-08,3.1811512757329297e-07,0.0,3.1811512757329297e-07,2.5727652719353955e-07,1.0
seed185_frame_local_only,185,frame_local_only,1,720,1.3563203282718206e-08,9.508236820110483e-08,0.0,1.8935890189197835e-07,2.240369694206379e-07,1.0
seed185_frame_local_only,185,frame_local_only,2,720,2.736327581187581e-08,9.070827478030452e-08,0.0,9.664214539739646e-08,1.302276837478189e-07,1.0
seed185_frame_local_only,185,frame_local_only,3,720,2.6494259453002655e-08,1.3196754378164144e-07,0.0,1.6369819633155203e-07,1.9354034186402913e-07,1.0
seed185_frame_local_only,185,frame_local_only,4,720,1.261237644878399e-08,1.2929798431926542e-07,0.0,2.0473522566177849e-07,2.1887907220019542e-07,1.0
seed185_frame_local_only,185,frame_local_only,5,720,1.619000447594665e-08,1.9230580172724387e-07,0.0,2.005301018570549e-07,2.3145199357088586e-07,1.0
seed185_frame_local_only,185,frame_local_only,6,720,2.6201353531263294e-08,1.1308892866601639e-07,0.0,1.807929055352986e-07,2.0495368868722608e-07,1.0
seed185_frame_local_only,185,frame_local_only,7,720,2.4908064999440427e-08,1.3049965574829514e-07,0.0,1.787818937337704e-07,2.268918777303952e-07,1.0
seed185_frame_local_only,185,frame_local_only,8,720,2.7259794366241152e-08,1.5660512309167984e-07,0.0,1.5660512309167984e-07,1.5455600843594652e-07,1.0
seed185_frame_local_only,185,frame_local_only,9,720,4.4187543402074425e-08,1.3911201435234943e-07,0.0,1.7472977686949775e-07,1.9424684527535874e-07,1.0
seed185_frame_local_only,185,frame_local_only,10,720,4.685588961272913e-08,2.144425170769182e-07,0.0,2.144425170769182e-07,1.7036944832682366e-07,1.0
seed185_frame_local_only,185,frame_local_only,11,720,4.4692217149311375e-08,2.2999188331596088e-07,0.0,2.2999188331596088e-07,2.31281578777498e-07,1.0
seed185_frame_local_only,185,frame_local_only,12,720,5.327777741204187e-08,2.869389312820658e-07,0.0,2.869389312820658e-07,2.2183226011662782e-07,1.0
seed185_frame_local_only,185,frame_local_only,13,720,4.6720553981138835e-08,2.5235584777405506e-07,0.0,2.5235584777405506e-07,2.7091334775519726e-07,1.0
seed185_frame_local_only,185,frame_local_only,14,720,5.389311197312452e-08,2.6257298513243654e-07,0.0,2.6257298513243654e-07,2.447188224286023e-07,1.0
seed185_frame_local_only,185,frame_local_only,15,720,5.707546080202519e-08,3.042254874685568e-07,0.0,3.042254874685568e-07,2.0862181271397162e-07,1.0
seed185_frame_local_only,185,frame_local_only,16,720,4.6116875540569424e-08,2.6495607041709945e-07,0.0,2.6495607041709945e-07,2.2819009970476145e-07,1.0
seed185_frame_local_only,185,frame_local_only,17,720,4.64303139269262e-08,2.5442915374540576e-07,0.0,2.6409057607423847e-07,2.6417101972597834e-07,1.0
seed185_frame_local_only,185,frame_local_only,18,720,5.2572333930633874e-08,2.9679659441228523e-07,0.0,2.9679659441228523e-07,2.0243645826312218e-07,1.0
seed185_frame_local_only,185,frame_local_only,19,720,5.388627577485039e-08,3.3065668159082406e-07,0.0,3.3065668159082406e-07,2.0883567763974042e-07,1.0
seed185_frame_local_only,185,frame_local_only,20,720,5.584087714449737e-08,2.7012430781070407e-07,0.0,2.7012430781070407e-07,2.216008652133894e-07,1.0
GLOBAL,,,,86400,5.800120184140667e-08,3.3065668159082406e-07,0.0,3.3065668159082406e-07,3.610712273616201e-07,1.0
