schema_version,metric,contrast_cell_id,n,mean,sample_sd,standard_error,median,minimum,maximum
gen4_r6_secondary_descriptive_results_v1,entitlement_prob,C0_SHAM,300,0.08477866521260391,0.043923403690551505,0.0025359188944464512,0.08188316940019529,0.02289325888786051,0.49231813848018646
gen4_r6_secondary_descriptive_results_v1,entitlement_prob,C1_TITLE,300,0.08015983670630872,0.06744406326759861,0.0038938848082790203,0.06680159508768055,0.01501741622471147,0.6594680266247855
gen4_r6_secondary_descriptive_results_v1,entitlement_prob,C2_NAME,300,0.06510856624882393,0.03813968721816579,0.0022019958682216144,0.05622800729340977,0.016469346980253857,0.36733805015683174
gen4_r6_secondary_descriptive_results_v1,entitlement_prob,C3_ROLE,300,0.09529575185539822,0.08340340250118904,0.004815297688539219,0.06753953008188142,0.01566881091437406,0.6765872637430826
gen4_r6_secondary_descriptive_results_v1,entitlement_prob,C4_PREDICATE,300,0.12898809523623506,0.08552101245712838,0.004937557956349241,0.10376428967962663,0.015953174869840343,0.7622241543398963
gen4_r6_secondary_descriptive_results_v1,entitlement_prob,C5_TITLE_NAME,300,0.06968831506333556,0.06110754869090117,0.003528045968620995,0.05009279788161317,0.011365845566615462,0.5563934495051702
gen4_r6_secondary_descriptive_results_v1,support_vs_best_nonsupport_logit_margin,C0_SHAM,300,-0.6225682203416472,0.18695512716478854,0.010793859299497137,-0.635926503688097,-0.920136597007513,0.1979878776603275
gen4_r6_secondary_descriptive_results_v1,support_vs_best_nonsupport_logit_margin,C1_TITLE,300,-0.6615321216694321,0.2815445804029158,0.016254983928450366,-0.7129209459655814,-1.7838529116577573,1.421004667878151
gen4_r6_secondary_descriptive_results_v1,support_vs_best_nonsupport_logit_margin,C2_NAME,300,-0.7197149702252958,0.17708074997872592,0.01022376186685182,-0.7615208958999978,-0.9510714852561554,0.436746241317855
gen4_r6_secondary_descriptive_results_v1,support_vs_best_nonsupport_logit_margin,C3_ROLE,300,-0.5685232223228862,0.4011815486788807,0.023162227512366268,-0.7053756254414718,-0.9542426881897781,1.881151066886054
gen4_r6_secondary_descriptive_results_v1,support_vs_best_nonsupport_logit_margin,C4_PREDICATE,300,-0.4104519269108359,0.3760973645182184,0.021713991464610217,-0.5143660836749606,-0.9558493212486306,1.1521463327937655
gen4_r6_secondary_descriptive_results_v1,support_vs_best_nonsupport_logit_margin,C5_TITLE_NAME,300,-0.7041212573766502,0.26808208280020607,0.01547772626696145,-0.7964116645356019,-0.9759272556338046,1.056735999054379
