evidence,checkpoint,N,primary_outcome,effect_or_utility,frozen_p,test,conclusion,boundary,source
AVeriTeC gold-evidence transfer,130M,462,D_EXT=+2.31e-04,dz=+0.120,0.0104,Holm (two-test family),Positive transfer supported,Gold evidence only; no retrieval claim; no benchmark-superiority claim,reports/reason_router_gen4_averitec_external_transfer_runs/g4k-averitec-external-transfer-130m370m-dev462-c5b470f-postcheck-recovery2/external_transfer_analysis.json
AVeriTeC gold-evidence transfer,370M,462,D_EXT=+4.56e-05,dz=+0.106,0.0114,Holm (two-test family),Positive transfer supported,Gold evidence only; no retrieval claim; no benchmark-superiority claim,reports/reason_router_gen4_averitec_external_transfer_runs/g4k-averitec-external-transfer-130m370m-dev462-c5b470f-postcheck-recovery2/external_transfer_analysis.json
AVeriTeC gold-evidence transfer,1.4B,462,D_EXT=-7.85e-05,dz=-0.067,0.0757,one-sided less,Negative transfer not established,Gold evidence only; no retrieval claim; no benchmark-superiority claim,reports/reason_router_gen4_averitec_mamba14b_negative_sign_analysis_v1/external_transfer_analysis.json
AVeriTeC fixed-mirror steering,370M,2799,corrections=0; damages=0,net accuracy change=0,not estimable,exact utility test; zero discordant pairs,Fixed-mirror useful steering not established,Gold evidence only; no retrieval claim; no benchmark-superiority claim,reports/reason_router_gen4_averitec_370m_fixed_mirror_steering_analysis_328ae53/steering_analysis.json
