schema_version,endpoint,estimand,n,mean,sample_sd,standard_error,median,minimum,maximum,df,t_statistic,raw_p_value,holm_adjusted_p_value,reject_holm_alpha_0_05,ci95_low,ci95_high,d_z,decision
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_SPEED,DELTA_TITLE,300,0.012976405223210653,0.3213161102985766,0.018551194277584667,0.06450265645980835,-0.5729753971099854,0.6327790021896362,299,0.6994916353654919,0.484788648263875,1.0,False,-0.023531040392249708,0.04948385083867102,0.04038516839741582,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_SPEED,DELTA_NAME,300,-0.0017506202061971028,0.053131084193849064,0.0030675245761655427,0.0076743364334106445,-0.1453993320465088,0.11452412605285645,299,-0.5706947614370567,0.5686352089937219,1.0,False,-0.007787292830221405,0.0042860524178271985,-0.032949077414079396,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_SPEED,DELTA_ROLE,300,-0.01269685705502828,0.05117480443169676,0.0029545787114366577,-0.011659979820251465,-0.19995880126953125,0.1317669153213501,299,-4.297349400738916,2.341006648258061e-05,0.0003043308642735479,True,-0.01851126016085433,-0.006882453949202229,-0.248107583331849,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_SUPPORTED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_SPEED,DELTA_PREDICATE,300,0.02669889489809672,0.09737511424226274,0.005621954842014095,0.025036275386810303,-0.27866172790527344,0.2622365951538086,299,4.749041151766296,3.1760049192995434e-06,4.4464068870193605e-05,True,0.01563528316634971,0.03776250662984373,0.27418601873648807,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_SUPPORTED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_SPEED,INTERACTION_TITLE_NAME,300,-0.005837910572687785,0.057071888699043526,0.0032950470303553135,-0.0024620890617370605,-0.146476149559021,0.08360302448272705,299,-1.7717229887484391,0.07745901628088428,0.6196721302470742,False,-0.012322331384690775,0.0006465102393152043,-0.10229047444833596,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_TURNING,DELTA_TITLE,300,-0.00030808647473653156,0.03426156986193324,0.0019780926582646323,0.002007782459259033,-0.07712984085083008,0.05396544933319092,299,-0.15574926353895566,0.8763357614853555,1.0,False,-0.004200833705096504,0.003584660755623441,-0.0089921879230302,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_TURNING,DELTA_NAME,300,-0.001766198476155599,0.027518361962091464,0.0015887733686471063,-0.001294255256652832,-0.054152727127075195,0.06163311004638672,299,-1.111674270861914,0.26717129203838963,1.0,False,-0.004892792725737668,0.0013603957734264695,-0.0641825439533307,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_TURNING,DELTA_ROLE,300,-0.0025326824188232422,0.016920334511784558,0.0009768959685157329,-0.002686798572540283,-0.07063102722167969,0.042582035064697266,299,-2.592581503505768,0.009994044617226422,0.09994044617226422,False,-0.004455144978856007,-0.0006102198587904773,-0.14968276289451,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_TURNING,DELTA_PREDICATE,300,0.0007807246843973796,0.018744845664376505,0.0010822341690245763,0.003775477409362793,-0.045990824699401855,0.05903458595275879,299,0.721400882307247,0.4712266183172966,1.0,False,-0.0013490360457027281,0.002910485414497487,0.04165009935937225,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_NOT_ESTABLISHED
gen4_native_mamba_phase_f_primary_confirmatory_results_v1,POST4_TURNING,INTERACTION_TITLE_NAME,300,-0.0026908330122629802,0.012970034834204718,0.0007488253102926917,0.0012146234512329102,-0.024719595909118652,0.03879594802856445,299,-3.5934055316736293,0.0003815449792363805,0.004578539750836566,True,-0.004164468557335283,-0.0012171974671906771,-0.207465365101926,PRESPECIFIED_LOCAL_NATIVE_STATE_KINEMATIC_RESPONSE_SUPPORTED
