schema_version,source_pair_id,endpoint,estimand,contrast_value
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_071,POST4_SPEED,DELTA_TITLE,0.6111555099487305
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_072,POST4_SPEED,DELTA_TITLE,0.19398295879364014
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_073,POST4_SPEED,DELTA_TITLE,-0.4300076961517334
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_074,POST4_SPEED,DELTA_TITLE,0.06764781475067139
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_075,POST4_SPEED,DELTA_TITLE,0.1550370454788208
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_076,POST4_SPEED,DELTA_TITLE,-0.361236572265625
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_077,POST4_SPEED,DELTA_TITLE,0.5186934471130371
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_078,POST4_SPEED,DELTA_TITLE,0.17678558826446533
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_079,POST4_SPEED,DELTA_TITLE,-0.30637431144714355
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_080,POST4_SPEED,DELTA_TITLE,0.09209620952606201
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_081,POST4_SPEED,DELTA_TITLE,-0.21079397201538086
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_082,POST4_SPEED,DELTA_TITLE,-0.24371421337127686
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_083,POST4_SPEED,DELTA_TITLE,0.6140947341918945
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_084,POST4_SPEED,DELTA_TITLE,0.189070463180542
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_085,POST4_SPEED,DELTA_TITLE,-0.4384477138519287
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_086,POST4_SPEED,DELTA_TITLE,0.04723763465881348
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_087,POST4_SPEED,DELTA_TITLE,0.15507793426513672
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_088,POST4_SPEED,DELTA_TITLE,-0.3646211624145508
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_089,POST4_SPEED,DELTA_TITLE,0.5186359882354736
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_090,POST4_SPEED,DELTA_TITLE,0.17699623107910156
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_091,POST4_SPEED,DELTA_TITLE,-0.31263434886932373
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_092,POST4_SPEED,DELTA_TITLE,0.11139214038848877
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_093,POST4_SPEED,DELTA_TITLE,-0.22002792358398438
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_094,POST4_SPEED,DELTA_TITLE,-0.237341046333313
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_095,POST4_SPEED,DELTA_TITLE,0.6252859830856323
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_096,POST4_SPEED,DELTA_TITLE,0.20638597011566162
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_097,POST4_SPEED,DELTA_TITLE,-0.44064831733703613
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_098,POST4_SPEED,DELTA_TITLE,0.0646820068359375
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_099,POST4_SPEED,DELTA_TITLE,0.1614391803741455
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_100,POST4_SPEED,DELTA_TITLE,-0.36330533027648926
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_101,POST4_SPEED,DELTA_TITLE,0.5232715606689453
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_102,POST4_SPEED,DELTA_TITLE,0.17275118827819824
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_103,POST4_SPEED,DELTA_TITLE,-0.30930089950561523
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_104,POST4_SPEED,DELTA_TITLE,0.10874319076538086
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_105,POST4_SPEED,DELTA_TITLE,-0.22041869163513184
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_106,POST4_SPEED,DELTA_TITLE,-0.24562287330627441
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_107,POST4_SPEED,DELTA_TITLE,0.6322757005691528
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_108,POST4_SPEED,DELTA_TITLE,0.19717073440551758
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_109,POST4_SPEED,DELTA_TITLE,-0.44923877716064453
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_110,POST4_SPEED,DELTA_TITLE,0.03927147388458252
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_111,POST4_SPEED,DELTA_TITLE,0.1618354320526123
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_112,POST4_SPEED,DELTA_TITLE,-0.36497366428375244
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_113,POST4_SPEED,DELTA_TITLE,0.5133002996444702
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_114,POST4_SPEED,DELTA_TITLE,0.1930396556854248
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_115,POST4_SPEED,DELTA_TITLE,-0.30680251121520996
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_116,POST4_SPEED,DELTA_TITLE,0.10726022720336914
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_117,POST4_SPEED,DELTA_TITLE,-0.213506817817688
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_118,POST4_SPEED,DELTA_TITLE,-0.2360471487045288
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_119,POST4_SPEED,DELTA_TITLE,0.6224167346954346
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_120,POST4_SPEED,DELTA_TITLE,0.18306446075439453
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_121,POST4_SPEED,DELTA_TITLE,-0.43244290351867676
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_122,POST4_SPEED,DELTA_TITLE,0.0410611629486084
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_123,POST4_SPEED,DELTA_TITLE,0.15861785411834717
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_124,POST4_SPEED,DELTA_TITLE,-0.3638620376586914
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_125,POST4_SPEED,DELTA_TITLE,0.5089342594146729
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_126,POST4_SPEED,DELTA_TITLE,0.18341147899627686
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_127,POST4_SPEED,DELTA_TITLE,-0.30670642852783203
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_128,POST4_SPEED,DELTA_TITLE,0.09883475303649902
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_129,POST4_SPEED,DELTA_TITLE,-0.2370375394821167
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_130,POST4_SPEED,DELTA_TITLE,-0.24197018146514893
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_131,POST4_SPEED,DELTA_TITLE,0.6233439445495605
gen4_native_mamba_phase_f_pair_level_contrasts_v1,generated_fact_132,POST4_SPEED,DELTA_TITLE,0.18051981925964355
