feature_subset_mask,feature_subset_members,signature,signature_row_count,seed_counts,transition_role_counts,acceptable_action_intersection,inclusion_minimal_action_set,action_set_size,classification,safe_set_valued,unsafe_action_ambiguity,primary_row_ids
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]","[[""NEGATIVE"",""NEGATIVE"",""NEGATIVE""]]",7,"{""184"":5,""185"":2}","{""recovery"":7}","[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]","[""11000""]",1,UNIQUE_DETERMINISTIC,false,false,"[""generated_fact_039__paraphrase"",""generated_fact_118__paraphrase"",""language_program__paraphrase"",""museum_purchase__paraphrase"",""satellite_launch__paraphrase"",""museum_purchase__none"",""satellite_launch__paraphrase""]"
00100000000000,"[""HEAD_MARGIN_SIGN_SEQUENCE""]","[[""POSITIVE"",""POSITIVE"",""POSITIVE""]]",9,"{""184"":6,""185"":3}","{""harm"":9}","[""00000"",""00001"",""00100"",""00101""]","[""00000""]",1,UNIQUE_DETERMINISTIC,false,false,"[""generated_fact_083__paraphrase"",""generated_fact_115__paraphrase"",""generated_fact_128__paraphrase"",""generated_fact_166__polarity_flip"",""generated_fact_285__polarity_flip"",""reef_protection__none"",""generated_fact_045__none"",""generated_fact_285__polarity_flip"",""reef_protection__none""]"
01000000000000,"[""FINAL_MARGIN_SIGN_SEQUENCE""]","[[""NEGATIVE"",""NEGATIVE"",""NEGATIVE""]]",7,"{""184"":5,""185"":2}","{""recovery"":7}","[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]","[""11000""]",1,UNIQUE_DETERMINISTIC,false,false,"[""generated_fact_039__paraphrase"",""generated_fact_118__paraphrase"",""language_program__paraphrase"",""museum_purchase__paraphrase"",""satellite_launch__paraphrase"",""museum_purchase__none"",""satellite_launch__paraphrase""]"
01000000000000,"[""FINAL_MARGIN_SIGN_SEQUENCE""]","[[""POSITIVE"",""POSITIVE"",""POSITIVE""]]",9,"{""184"":6,""185"":3}","{""harm"":9}","[""00000"",""00001"",""00100"",""00101""]","[""00000""]",1,UNIQUE_DETERMINISTIC,false,false,"[""generated_fact_083__paraphrase"",""generated_fact_115__paraphrase"",""generated_fact_128__paraphrase"",""generated_fact_166__polarity_flip"",""generated_fact_285__polarity_flip"",""reef_protection__none"",""generated_fact_045__none"",""generated_fact_285__polarity_flip"",""reef_protection__none""]"
10000000000000,"[""RECIPIENT_PREDICTION_SEQUENCE""]","[[""NOT_ENTITLED"",""NOT_ENTITLED"",""NOT_ENTITLED""]]",7,"{""184"":5,""185"":2}","{""recovery"":7}","[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]","[""11000""]",1,UNIQUE_DETERMINISTIC,false,false,"[""generated_fact_039__paraphrase"",""generated_fact_118__paraphrase"",""language_program__paraphrase"",""museum_purchase__paraphrase"",""satellite_launch__paraphrase"",""museum_purchase__none"",""satellite_launch__paraphrase""]"
10000000000000,"[""RECIPIENT_PREDICTION_SEQUENCE""]","[[""SUPPORT"",""SUPPORT"",""SUPPORT""]]",9,"{""184"":6,""185"":3}","{""harm"":9}","[""00000"",""00001"",""00100"",""00101""]","[""00000""]",1,UNIQUE_DETERMINISTIC,false,false,"[""generated_fact_083__paraphrase"",""generated_fact_115__paraphrase"",""generated_fact_128__paraphrase"",""generated_fact_166__polarity_flip"",""generated_fact_285__polarity_flip"",""reef_protection__none"",""generated_fact_045__none"",""generated_fact_285__polarity_flip"",""reef_protection__none""]"
