feature_subset_mask,feature_subset_size,feature_subset_members,signature_count,maximum_rows_per_signature,mixed_role_signature_count,cross_seed_signature_count,seed184_to_seed185_full_pass,seed185_to_seed184_full_pass,classification,policy_equivalence_class,pooled_full_pass,bidirectional_cross_seed_full_pass,unique_signature_action_count,ambiguous_signature_action_count,empty_signature_action_count,primary_policy_passed,seed184_nonprimary_safety_passed,seed185_nonprimary_safety_passed,safety_authorized,nondominated
00100000000000,1,"[""HEAD_MARGIN_SIGN_SEQUENCE""]",2,9,0,2,true,true,UNIQUE_DETERMINISTIC,POLICY_EQUIVALENCE_001,true,true,2,0,0,true,false,false,false,true
01000000000000,1,"[""FINAL_MARGIN_SIGN_SEQUENCE""]",2,9,0,2,true,true,UNIQUE_DETERMINISTIC,POLICY_EQUIVALENCE_001,true,true,2,0,0,true,false,false,false,true
10000000000000,1,"[""RECIPIENT_PREDICTION_SEQUENCE""]",2,9,0,2,true,true,UNIQUE_DETERMINISTIC,POLICY_EQUIVALENCE_001,true,true,2,0,0,true,false,false,false,true
