candidate_a,candidate_b,strict_feature_subset,same_primary_action_sets,no_lower_clean_dev_coverage,no_worse_safety,authorized_feature_inputs,a_structurally_dominates_b,details
00100000000000,01000000000000,false,true,false,true,true,false,"{""accuracy_not_used"":true,""coverage_by_seed"":{""183"":[0.9194444444444444,0.9430555555555555],""184"":[0.7847222222222222,0.8111111111111111],""185"":[0.8541666666666666,0.8875]}}"
00100000000000,10000000000000,false,true,true,true,true,false,"{""accuracy_not_used"":true,""coverage_by_seed"":{""183"":[0.9194444444444444,0.8347222222222223],""184"":[0.7847222222222222,0.7513888888888889],""185"":[0.8541666666666666,0.7736111111111111]}}"
01000000000000,00100000000000,false,true,true,true,true,false,"{""accuracy_not_used"":true,""coverage_by_seed"":{""183"":[0.9430555555555555,0.9194444444444444],""184"":[0.8111111111111111,0.7847222222222222],""185"":[0.8875,0.8541666666666666]}}"
01000000000000,10000000000000,false,true,true,true,true,false,"{""accuracy_not_used"":true,""coverage_by_seed"":{""183"":[0.9430555555555555,0.8347222222222223],""184"":[0.8111111111111111,0.7513888888888889],""185"":[0.8875,0.7736111111111111]}}"
10000000000000,00100000000000,false,true,false,true,true,false,"{""accuracy_not_used"":true,""coverage_by_seed"":{""183"":[0.8347222222222223,0.9194444444444444],""184"":[0.7513888888888889,0.7847222222222222],""185"":[0.7736111111111111,0.8541666666666666]}}"
10000000000000,01000000000000,false,true,false,true,true,false,"{""accuracy_not_used"":true,""coverage_by_seed"":{""183"":[0.8347222222222223,0.9430555555555555],""184"":[0.7513888888888889,0.8111111111111111],""185"":[0.7736111111111111,0.8875]}}"
