seed,signature_view,view_authority,recovery_signature_set,harm_signature_set,shared_signature_set,recovery_exclusive_signatures,harm_exclusive_signatures,signature_set_jaccard_overlap,recovery_exclusive_row_coverage,recovery_exclusive_coverage_numerator,recovery_exclusive_coverage_denominator,harm_exclusive_row_coverage,harm_exclusive_coverage_numerator,harm_exclusive_coverage_denominator,collision_signatures,collision_row_count
184,five_bit_local,primary_authorizing,"[""0|0|1|1|0"",""0|1|1|1|0""]","[""0|1|1|1|0"",""1|1|1|1|0"",""1|1|1|1|1""]","[""0|1|1|1|0""]","[""0|0|1|1|0""]","[""1|1|1|1|0"",""1|1|1|1|1""]",0.25,0.4,2,5,0.8333333333333334,5,6,"[""0|1|1|1|0""]",4
185,five_bit_local,primary_authorizing,"[""0|0|1|1|0"",""0|1|1|1|0""]","[""0|1|1|1|0"",""1|1|1|1|0""]","[""0|1|1|1|0""]","[""0|0|1|1|0""]","[""1|1|1|1|0""]",0.3333333333333333,0.5,1,2,0.3333333333333333,1,3,"[""0|1|1|1|0""]",3
184,six_bit_composition_augmented,composition_augmented_non_authorizing,"[""0|0|1|1|0|0"",""0|1|1|1|0|0""]","[""0|1|1|1|0|1"",""1|1|1|1|0|1"",""1|1|1|1|1|1""]",[],"[""0|0|1|1|0|0"",""0|1|1|1|0|0""]","[""0|1|1|1|0|1"",""1|1|1|1|0|1"",""1|1|1|1|1|1""]",0.0,1.0,5,5,1.0,6,6,[],0
185,six_bit_composition_augmented,composition_augmented_non_authorizing,"[""0|0|1|1|0|0"",""0|1|1|1|0|0""]","[""0|1|1|1|0|1"",""1|1|1|1|0|1""]",[],"[""0|0|1|1|0|0"",""0|1|1|1|0|0""]","[""0|1|1|1|0|1"",""1|1|1|1|0|1""]",0.0,1.0,2,2,1.0,3,3,[],0
