source_seed,target_seed,signature_view,view_authority,source_recovery_exclusive_signatures,source_harm_exclusive_signatures,target_recovery_coverage,target_recovery_coverage_numerator,target_recovery_coverage_denominator,target_recovery_purity,target_recovery_purity_numerator,target_recovery_purity_denominator,target_recovery_collision_count,target_harm_coverage,target_harm_coverage_numerator,target_harm_coverage_denominator,target_harm_purity,target_harm_purity_numerator,target_harm_purity_denominator,target_harm_collision_count,target_uncovered_row_count,target_uncovered_recovery_count,target_uncovered_harm_count,exact_transfer_stable
184,185,five_bit_local,primary_authorizing,"[""0|0|1|1|0""]","[""1|1|1|1|0"",""1|1|1|1|1""]",0.5,1,2,1.0,1,1,0,0.3333333333333333,1,3,1.0,1,1,0,3,1,2,false
185,184,five_bit_local,primary_authorizing,"[""0|0|1|1|0""]","[""1|1|1|1|0""]",0.4,2,5,1.0,2,2,0,0.5,3,6,1.0,3,3,0,6,3,3,false
184,185,six_bit_composition_augmented,composition_augmented_non_authorizing,"[""0|0|1|1|0|0"",""0|1|1|1|0|0""]","[""0|1|1|1|0|1"",""1|1|1|1|0|1"",""1|1|1|1|1|1""]",1.0,2,2,1.0,2,2,0,1.0,3,3,1.0,3,3,0,0,0,0,true
185,184,six_bit_composition_augmented,composition_augmented_non_authorizing,"[""0|0|1|1|0|0"",""0|1|1|1|0|0""]","[""0|1|1|1|0|1"",""1|1|1|1|0|1""]",1.0,5,5,1.0,5,5,0,0.6666666666666666,4,6,1.0,4,4,0,2,0,2,false
