candidate_row_id,control_row_id,intervention_type,stage176_cohort,candidate_frame_logit,control_frame_logit,candidate_minus_control_frame_logit,candidate_frame_probability,control_frame_probability,candidate_minus_control_frame_probability,candidate_minus_control_projection,candidate_minus_control_centroid_correct,candidate_and_control_same_native_label,candidate_and_control_same_family,candidate_and_control_same_construction_status
generated_fact_055__none,generated_fact_045__none,none,harmful_regression,-0.6304675936698914,0.0868358463048935,-0.7173034399747849,0.34740450978279114,0.5216953158378601,-0.17429080605506897,-1.2285562008619308,0.0,True,True,True
generated_fact_086__none,reef_protection__none,none,harmful_regression,-0.32809653878211975,0.6201596260070801,-0.9482561647891998,0.4187038540840149,0.6502548456192017,-0.23155099153518677,-1.6241188049316406,0.0,True,True,True
generated_fact_090__none,generated_fact_118__none,none,harmful_regression,-0.6144053936004639,0.09834662079811096,-0.7127520143985748,0.35105493664741516,0.5245668888092041,-0.17351195216178894,-1.2207605615258217,0.0,True,True,True
generated_fact_146__none,generated_fact_089__none,none,harmful_regression,-0.2902115285396576,0.28916680812835693,-0.5793783366680145,0.4279520809650421,0.5717921257019043,-0.14384004473686218,-0.9923260509967804,0.0,True,True,True
generated_fact_195__polarity_flip,generated_fact_227__polarity_flip,polarity_flip,harmful_regression,-0.5529495477676392,0.36669784784317017,-0.9196473956108093,0.3651803731918335,0.590660810470581,-0.22548043727874756,-1.5751192569732666,0.0,True,True,True
generated_fact_230__polarity_flip,generated_fact_257__polarity_flip,polarity_flip,harmful_regression,-0.455825537443161,0.3320312201976776,-0.7878567576408386,0.38797658681869507,0.5822535157203674,-0.19427692890167236,-1.349395513534546,0.0,True,True,True
generated_fact_240__polarity_flip,generated_fact_166__polarity_flip,polarity_flip,harmful_regression,-0.23256896436214447,0.023978974670171738,-0.2565479390323162,0.44211840629577637,0.505994439125061,-0.06387603282928467,-0.43940041586756706,0.0,True,True,True
generated_fact_262__polarity_flip,generated_fact_285__polarity_flip,polarity_flip,harmful_regression,-0.03357614204287529,0.2670358717441559,-0.3006120137870312,0.4916067123413086,0.5663650631904602,-0.07475835084915161,-0.5148710384964943,0.0,True,True,True
generated_fact_274__polarity_flip,generated_fact_297__polarity_flip,polarity_flip,harmful_regression,-0.2241073101758957,0.09223845601081848,-0.3163457661867142,0.44420644640922546,0.5230432748794556,-0.0788368284702301,-0.5418187826871872,0.0,True,True,True
generated_fact_287__polarity_flip,generated_fact_161__polarity_flip,polarity_flip,harmful_regression,-0.33283570408821106,0.12521184980869293,-0.458047553896904,0.41755083203315735,0.5312621593475342,-0.11371132731437683,-0.7845175862312317,0.0,True,True,True
language_program__paraphrase,generated_fact_075__paraphrase,paraphrase,harmful_regression,-0.6545320153236389,0.5787363052368164,-1.2332683205604553,0.34196898341178894,0.6407765746116638,-0.2988075911998749,-2.1122710704803467,0.0,True,True,True
museum_purchase__none,generated_fact_115__none,none,harmful_regression,-0.4341762363910675,0.09749273955821991,-0.5316689759492874,0.39312952756881714,0.5243539214134216,-0.1312243938446045,-0.9106120094656944,0.0,True,True,True
reef_protection__location_swap,generated_fact_055__location_swap,location_swap,beneficial_correction,0.09144534170627594,-0.7257060408592224,0.8171513825654984,0.5228453874588013,0.3261377215385437,0.19670766592025757,1.3995698392391205,0.0,True,True,True
satellite_launch__none,generated_fact_083__none,none,harmful_regression,-0.43736767768859863,0.05503981187939644,-0.49240748956799507,0.3923683762550354,0.5137564539909363,-0.12138807773590088,-0.8433673679828644,0.0,True,True,True
