interface,n,accuracy,macro_f1,false_NE_total,false_entitlement_total,polarity_error_total,gold_counts,pred_counts,REFUTE_recall,REFUTE_precision,REFUTE_pred_count,REFUTE_support,NOT_ENTITLED_recall,NOT_ENTITLED_precision,NOT_ENTITLED_pred_count,NOT_ENTITLED_support,SUPPORT_recall,SUPPORT_precision,SUPPORT_pred_count,SUPPORT_support
context_prefix_core,6200,0.771935,0.569618,357,686,371,"{'NOT_ENTITLED': 4650, 'REFUTE': 806, 'SUPPORT': 744}","{'NOT_ENTITLED': 4321, 'REFUTE': 1744, 'SUPPORT': 135}",0.869727,0.40195,1744,806,0.852473,0.91738,4321,4650,0.162634,0.896296,135,744
core_first_context_suffix,6200,0.895,0.747383,378,84,189,"{'NOT_ENTITLED': 4650, 'REFUTE': 806, 'SUPPORT': 744}","{'NOT_ENTITLED': 4944, 'REFUTE': 1016, 'SUPPORT': 240}",0.939206,0.745079,1016,806,0.981935,0.923544,4944,4650,0.303763,0.941667,240,744
core_marker_context_suffix,6200,0.845968,0.633898,517,225,213,"{'NOT_ENTITLED': 4650, 'REFUTE': 806, 'SUPPORT': 744}","{'NOT_ENTITLED': 4942, 'REFUTE': 1134, 'SUPPORT': 124}",0.887097,0.630511,1134,806,0.951613,0.895386,4942,4650,0.141129,0.846774,124,744
core_only,6200,0.997742,0.99639,0,14,0,"{'NOT_ENTITLED': 4650, 'REFUTE': 806, 'SUPPORT': 744}","{'NOT_ENTITLED': 4636, 'REFUTE': 806, 'SUPPORT': 758}",1.0,1.0,806,806,0.996989,1.0,4636,4650,1.0,0.98153,758,744
full_evidence,6200,0.869194,0.753022,402,256,153,"{'NOT_ENTITLED': 4650, 'REFUTE': 806, 'SUPPORT': 744}","{'NOT_ENTITLED': 4796, 'REFUTE': 1026, 'SUPPORT': 378}",0.799007,0.62768,1026,806,0.944946,0.91618,4796,4650,0.471774,0.928571,378,744
