stage123b_interface,stage122_source_stage121_family,stage122_variant,gold_label,correct_SUPPORT,correct_REFUTE,correct_NE,false_NE_SUPPORT,false_NE_REFUTE,false_entitlement,SUPPORT_to_REFUTE,REFUTE_to_SUPPORT,other,total,failure_total,failure_rate
context_prefix_core,original_control,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,original_control,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_fragment,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
context_prefix_core,short_neutral_sentence,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,explicit_before_temporal,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_neutral_tokens,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,length_matched_nonsense,core_only,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,length_matched_nonsense,core_plus_suffix,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,length_matched_nonsense,core_with_neutral_marker,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,length_matched_nonsense,original_control,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,length_matched_nonsense,prefix_only,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,length_matched_nonsense,prefix_plus_core,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,length_matched_nonsense,prefix_separator_core,REFUTE,0,6,0,0,7,0,0,0,0,13,7,0.538462
core_first_context_suffix,long_discourse_no_temporal,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_discourse_no_temporal,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_discourse_no_temporal,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_discourse_no_temporal,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
