schema_version,source_pair_id,layer_contrast,secondary_layer_index,midpoint_layer_index,endpoint,estimand,secondary_contrast_value,midpoint_contrast_value,cross_layer_difference
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_051,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.058356285095214844,0.01221764087677002,-0.07057392597198486
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_052,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.10042953491210938,-0.06711864471435547,0.16754817962646484
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_053,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.040148019790649414,-0.1289982795715332,0.16914629936218262
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_054,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0399705171585083,0.03432798385620117,-0.07429850101470947
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_055,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08841133117675781,0.01930701732635498,0.06910431385040283
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_056,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.07976889610290527,0.04068577289581299,-0.12045466899871826
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_057,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0020492076873779297,-0.016710877418518066,0.014661669731140137
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_058,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.009145855903625488,0.0028918981552124023,0.006253957748413086
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_059,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.015445709228515625,0.0006924867630004883,0.014753222465515137
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_060,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.039994239807128906,0.05828750133514404,-0.018293261528015137
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_061,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.044992804527282715,-0.04106581211090088,0.0860586166381836
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_062,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14375531673431396,0.05971336364746094,-0.2034686803817749
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_063,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.057906389236450195,0.008982539176940918,-0.06688892841339111
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_064,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.1004403829574585,-0.06888210773468018,0.16932249069213867
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_065,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.040985703468322754,-0.12837398052215576,0.16935968399047852
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_066,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.039643049240112305,0.03481745719909668,-0.07446050643920898
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_067,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08869385719299316,0.01795780658721924,0.07073605060577393
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_068,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.07936930656433105,0.04075264930725098,-0.12012195587158203
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_069,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0038292407989501953,-0.014928221702575684,0.011098980903625488
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_070,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.010073661804199219,-0.0011608600616455078,0.011234521865844727
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_071,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.014338016510009766,0.003109455108642578,0.011228561401367188
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_072,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.03996610641479492,0.05742621421813965,-0.017460107803344727
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_073,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04494369029998779,-0.03857755661010742,0.08352124691009521
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_074,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.143416166305542,0.05994415283203125,-0.20336031913757324
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_075,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.05866408348083496,0.011144518852233887,-0.06980860233306885
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_076,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.0993889570236206,-0.06862747669219971,0.1680164337158203
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_077,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04137086868286133,-0.12907397747039795,0.17044484615325928
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_078,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.040352463722229004,0.03492295742034912,-0.07527542114257812
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_079,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.09001052379608154,0.019563794136047363,0.07044672966003418
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_080,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.07788598537445068,0.040627479553222656,-0.11851346492767334
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_081,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.003992199897766113,-0.01607215404510498,0.012079954147338867
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_082,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.008973479270935059,-0.00039517879486083984,0.009368658065795898
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_083,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.015324831008911133,0.0039179325103759766,0.011406898498535156
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_084,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.03944993019104004,0.05786621570587158,-0.018416285514831543
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_085,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04518473148345947,-0.040518760681152344,0.08570349216461182
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_086,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14493882656097412,0.05785202980041504,-0.20279085636138916
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_087,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.05944061279296875,0.008342981338500977,-0.06778359413146973
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_088,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.10131585597991943,-0.06984364986419678,0.1711595058441162
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_089,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.0418088436126709,-0.12503981590270996,0.16684865951538086
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_090,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.03913605213165283,0.03453671932220459,-0.07367277145385742
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_091,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08810126781463623,0.018982768058776855,0.06911849975585938
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_092,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.07935404777526855,0.040593743324279785,-0.11994779109954834
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_093,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.002293825149536133,-0.014749765396118164,0.012455940246582031
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_094,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.010264396667480469,0.0005123615264892578,0.009752035140991211
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_095,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.013804912567138672,0.0041190385818481445,0.009685873985290527
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_096,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.03897547721862793,0.05642533302307129,-0.01744985580444336
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_097,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.045229434967041016,-0.03924870491027832,0.08447813987731934
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_098,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14460694789886475,0.056681275367736816,-0.20128822326660156
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_099,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.058153629302978516,0.011455297470092773,-0.06960892677307129
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_100,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.10013389587402344,-0.06968140602111816,0.1698153018951416
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_101,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.038161516189575195,-0.1295640468597412,0.1677255630493164
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_102,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.039186954498291016,0.03390169143676758,-0.0730886459350586
