run,seed,arm,gold_support_count,persistent_stable_support_negative_count,stable_correct_support_control_count,temporal_support_consensus_outlier_count,other_gold_support_count,persistent_swa_support_rescue_count
seed180_baseline,180,baseline,89,22,50,0,17,0
seed180_intervention,180,intervention,89,14,46,0,29,0
seed181_baseline,181,baseline,89,30,31,20,8,0
seed181_intervention,181,intervention,89,20,33,0,36,0
seed182_baseline,182,baseline,89,18,49,4,18,0
seed182_intervention,182,intervention,89,23,47,0,19,0
