frame_logit,sigmoid_probability,positive_bce_loss,positive_bce_gradient_magnitude,unweighted_hinge_loss,weighted_hinge_loss,weighted_hinge_gradient_magnitude,weighted_hinge_to_bce_gradient_ratio,hinge_active,boundary_convention
-2.0,0.11920292202211755,2.1269280110429727,0.8807970779778824,2.0,0.1,0.05,0.056766764161830637,true,active z<0
-1.0,0.2689414213699951,1.3132616875182228,0.7310585786300049,1.0,0.05,0.05,0.06839397205857212,true,active z<0
-0.5,0.3775406687981454,0.9740769841801067,0.6224593312018546,0.5,0.025,0.05,0.08032653298563167,true,active z<0
-0.1,0.47502081252106,0.7443966600735709,0.52497918747894,0.1,0.005000000000000001,0.05,0.09524187090179798,true,active z<0
0.0,0.5,0.6931471805599453,0.5,0.0,0.0,,,boundary,ReLU subgradient at z=0 is implementation-dependent; spec fixes only z<0 active and z>0 inactive
0.1,0.52497918747894,0.6443966600735709,0.47502081252106,0.0,0.0,0.0,0.0,false,inactive z>0
0.5,0.6224593312018546,0.4740769841801067,0.3775406687981454,0.0,0.0,0.0,0.0,false,inactive z>0
1.0,0.7310585786300049,0.31326168751822286,0.2689414213699951,0.0,0.0,0.0,0.0,false,inactive z>0
2.0,0.8807970779778823,0.1269280110429725,0.11920292202211769,0.0,0.0,0.0,0.0,false,inactive z>0
