seed,epoch,row_count,mean_delta_frame,mean_delta_predicate,mean_delta_sufficiency,mean_delta_polarity,mean_delta_entitlement,mean_delta_margin,support_status_disagreement_count,support_status_disagreement_rate
183,1,720,-0.12752375401970412,-0.041243855324056417,-0.0378439727342791,0.20737130848897828,-0.1364095813749979,-0.2938757364224229,49,0.06805555555555555
183,2,720,0.5614460330249534,0.053713367299901116,0.03741343416687515,0.08285908359620306,0.3999742065478737,0.9526156682650455,0,0.0
183,3,720,0.29645395752870374,0.1139956404765447,0.08920594500119074,-0.9856618735525343,0.2046913010857275,0.4428923108627916,271,0.3763888888888889
183,4,720,-0.1703271571546793,-0.025328625593748356,0.043761642083215216,0.5898609003259077,-0.04928184968593996,-0.1432984699896123,0,0.0
183,5,720,-0.18686033800347812,-0.004963600262999535,-0.036059920991667445,-0.11570281485716502,-0.060565234547215775,-0.20681494640124987,0,0.0
183,6,720,-0.006296202374829187,0.009204730598462952,-0.027397964973675294,-0.9122215254439248,-0.005018068270591256,-0.06127211256405442,6,0.008333333333333333
183,7,720,0.07137606066341201,-0.017839720224340758,0.0185109357504795,-0.04772605043318537,0.03601364899873766,0.22279971379854638,50,0.06944444444444445
183,8,720,0.07992145777162578,0.004942193047867881,0.017490475948175623,-0.9052185523013274,0.055713322474730376,0.22646918690139095,225,0.3125
183,9,720,0.17355576397126748,0.03437955654743645,0.010010395779843546,-0.8103237750215663,0.11295138232477862,0.4839452264094133,325,0.4513888888888889
183,10,720,0.20385757454464004,0.01712798628335198,0.009702024391541879,0.19032425764534208,0.08999735399519927,0.5404763135803806,310,0.4305555555555556
183,11,720,0.11555238481507533,-0.05356406801535438,0.01053757499386039,0.2982228254278501,0.002806346195024566,0.1960917164408026,63,0.0875
183,12,720,0.022025035347582565,-0.10455282626207918,0.009517922027346989,-0.19944817057500283,-0.058429825478373866,-0.1358267663614836,66,0.09166666666666666
183,13,720,0.004598785305602683,-0.05176794713156091,0.0022391631345575055,-0.26778836043344606,-0.03657716175369943,-0.08283650869150784,30,0.041666666666666664
183,14,720,-0.08700555379036815,-0.06406233263357232,0.0004428989150457912,0.1355374771480759,-0.07175996440940556,-0.19681596738920398,46,0.06388888888888888
183,15,720,-0.11486834989239772,-0.042173151483034924,-0.003422423860239279,0.2788690497477849,-0.0809741021747085,-0.2308860072953457,87,0.12083333333333333
183,16,720,0.003034301541952623,0.06487440717820492,-0.013698158188102145,0.1870643897809916,0.005892798547698577,0.12700074188487287,71,0.09861111111111111
183,17,720,0.08687795265189682,0.09908926356066432,-0.011920066011629791,0.14369105512483252,0.06708463588274186,0.36943615557414294,128,0.17777777777777778
183,18,720,0.05660476262370746,0.028338742835654154,0.0011718443193886843,0.17565441007415453,0.0390307378533063,0.21199756309713172,101,0.14027777777777778
183,19,720,0.0318282316904515,-0.0030287216753802364,0.007937487869963258,0.1691969931953483,0.01591428495490277,0.08900939148487608,77,0.10694444444444444
183,20,720,-0.03919868053764933,-0.049972063299113266,0.007359071547074968,0.0813276248673598,-0.028473384985103836,-0.12945804032475539,78,0.10833333333333334
