gate,threshold,shift,selected_count_mean,selected_count_std,selected_rate_mean,selected_rate_std,overall_accuracy_mean,overall_accuracy_std,overall_macro_f1_mean,overall_macro_f1_std,surface_control_fne_mean,surface_control_fne_std,temporal_erased_fne_mean,temporal_erased_fne_std,sufficiency_control_fe_mean,sufficiency_control_fe_std,frame_location_mismatch_fe_mean,frame_location_mismatch_fe_std,frame_role_mismatch_fe_mean,frame_role_mismatch_fe_std,temporal_mismatch_fe_mean,temporal_mismatch_fe_std,predicate_mismatch_fe_mean,predicate_mismatch_fe_std,keeps_temporal_guard,keeps_predicate_guard,safe_sufficiency,safe_frame_location,safe_frame_role,passes_g1_gate
high_frame_suff_predicate,0.80,0.4,24.333333,30.827477,0.071569,0.090669,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.60,0,124.000000,105.929222,0.364706,0.311557,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.60,0.1,124.000000,105.929222,0.364706,0.311557,0.708025,0.063864,0.415601,0.127822,0.386667,0.506491,0.706667,0.399291,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.60,0.2,124.000000,105.929222,0.364706,0.311557,0.714815,0.065447,0.422898,0.128497,0.383333,0.508363,0.673333,0.378726,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.60,0.25,124.000000,105.929222,0.364706,0.311557,0.717284,0.066932,0.425500,0.129831,0.376667,0.512282,0.663333,0.374477,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.60,0.3,124.000000,105.929222,0.364706,0.311557,0.719753,0.067137,0.428395,0.128868,0.376667,0.512282,0.650000,0.366606,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.60,0.4,124.000000,105.929222,0.364706,0.311557,0.724691,0.071106,0.433149,0.131817,0.366667,0.518588,0.630000,0.361663,0.050000,0.086603,0.650000,0.563471,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.70,0,86.000000,74.357246,0.252941,0.218698,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.70,0.1,86.000000,74.357246,0.252941,0.218698,0.707407,0.063694,0.414971,0.127602,0.386667,0.506491,0.710000,0.401497,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.70,0.2,86.000000,74.357246,0.252941,0.218698,0.708642,0.064052,0.416228,0.128051,0.386667,0.506491,0.703333,0.397157,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
