probe,n,gold_NOT_ENTITLED,gold_SUPPORT,gold_REFUTE,pred_SUPPORT,pred_REFUTE,pred_NOT_ENTITLED,classifier_error,false_entitled,false_entitled_rate,mean_frame_prob,mean_predicate_coverage_prob,mean_sufficiency_prob,mean_entitlement_prob,mean_polarity_margin
number_swap,60,60,0,0,1,0,59,1,1,0.016666666666666666,0.053113989726019405,0.584746915831541,0.26984498177771454,0.006811826765452149,0.05365366836388906
time_swap,60,60,0,0,60,0,0,60,60,1.0,0.9081286539634069,0.9952686349550883,0.9897631525993347,0.8945375611384709,5.692048033078511
