seed,shift,group,ood_eval_state,ood_eval_epoch,temporal_flag_count,predicate_flag_count,unflagged_count,final_accuracy,final_macro_f1,false_entitled_rate,false_not_entitled_rate,prediction_distribution
2,0,__overall__,best_dev,1,100,100,340,0.7037037014961243,0.43334019414702585,,,"{""NOT_ENTITLED"": 411, ""REFUTE"": 12, ""SUPPORT"": 117}"
2,0,temporal_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
2,0,predicate_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
2,0,surface_control,best_dev,1,100,100,340,0.4699999988079071,0.2131519274376417,0.0,0.46,"{""NOT_ENTITLED"": 46, ""REFUTE"": 7, ""SUPPORT"": 47}"
2,0,temporal_erased,best_dev,1,100,100,340,0.3199999928474426,0.16161616161616163,0.0,0.64,"{""NOT_ENTITLED"": 64, ""REFUTE"": 4, ""SUPPORT"": 32}"
2,0,sufficiency_control,best_dev,1,100,100,340,0.8600000143051147,0.30824372759856633,0.14,,"{""NOT_ENTITLED"": 86, ""SUPPORT"": 14}"
2,0,frame_location_mismatch,best_dev,1,100,100,340,0.4000000059604645,0.1904761904761905,0.6,,"{""NOT_ENTITLED"": 8, ""SUPPORT"": 12}"
2,0,frame_role_mismatch,best_dev,1,100,100,340,0.3499999940395355,0.1728395061728395,0.65,,"{""NOT_ENTITLED"": 7, ""REFUTE"": 1, ""SUPPORT"": 12}"
2,0.25,__overall__,best_dev,1,100,100,340,0.7722222208976746,0.535136918508743,,,"{""NOT_ENTITLED"": 255, ""REFUTE"": 52, ""SUPPORT"": 233}"
2,0.25,temporal_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
2,0.25,predicate_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
2,0.25,surface_control,best_dev,1,100,100,340,0.8399999737739563,0.30434782608695654,0.0,0.0,"{""REFUTE"": 16, ""SUPPORT"": 84}"
2,0.25,temporal_erased,best_dev,1,100,100,340,0.7799999713897705,0.29213483146067415,0.0,0.0,"{""REFUTE"": 22, ""SUPPORT"": 78}"
2,0.25,sufficiency_control,best_dev,1,100,100,340,0.550000011920929,0.23655913978494625,0.45,,"{""NOT_ENTITLED"": 55, ""REFUTE"": 9, ""SUPPORT"": 36}"
2,0.25,frame_location_mismatch,best_dev,1,100,100,340,0.0,0.0,1.0,,"{""REFUTE"": 2, ""SUPPORT"": 18}"
2,0.25,frame_role_mismatch,best_dev,1,100,100,340,0.0,0.0,1.0,,"{""REFUTE"": 3, ""SUPPORT"": 17}"
2,0.5,__overall__,best_dev,1,100,100,340,0.6981481313705444,0.5076808910527156,,,"{""NOT_ENTITLED"": 215, ""REFUTE"": 92, ""SUPPORT"": 233}"
2,0.5,temporal_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
2,0.5,predicate_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
2,0.5,surface_control,best_dev,1,100,100,340,0.8399999737739563,0.30434782608695654,0.0,0.0,"{""REFUTE"": 16, ""SUPPORT"": 84}"
2,0.5,temporal_erased,best_dev,1,100,100,340,0.7799999713897705,0.29213483146067415,0.0,0.0,"{""REFUTE"": 22, ""SUPPORT"": 78}"
2,0.5,sufficiency_control,best_dev,1,100,100,340,0.15000000596046448,0.08695652173913043,0.85,,"{""NOT_ENTITLED"": 15, ""REFUTE"": 49, ""SUPPORT"": 36}"
2,0.5,frame_location_mismatch,best_dev,1,100,100,340,0.0,0.0,1.0,,"{""REFUTE"": 2, ""SUPPORT"": 18}"
2,0.5,frame_role_mismatch,best_dev,1,100,100,340,0.0,0.0,1.0,,"{""REFUTE"": 3, ""SUPPORT"": 17}"
2,0.75,__overall__,best_dev,1,100,100,340,0.6703703999519348,0.4963362130413709,,,"{""NOT_ENTITLED"": 200, ""REFUTE"": 107, ""SUPPORT"": 233}"
2,0.75,temporal_mismatch,best_dev,1,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
