section,system,metric,mean,std,n,formatted
pairwise,conservative_balanced_router,polarity_flip_preserved_and_reversed,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
pairwise,conservative_balanced_router,predicate_disentangled,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
pairwise,conservative_balanced_router,truncation_sufficiency_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,conservative_strict_router,deletion_sufficiency_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,conservative_strict_router,entity_frame_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,conservative_strict_router,event_frame_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,conservative_strict_router,paraphrase_preserved,0.7999999999999999,0.04999999999999999,3,0.800 ± 0.050
pairwise,conservative_strict_router,polarity_flip_preserved_and_reversed,0.9,0.04999999999999999,3,0.900 ± 0.050
pairwise,conservative_strict_router,predicate_disentangled,0.8666666666666667,0.07637626158259729,3,0.867 ± 0.076
pairwise,conservative_strict_router,truncation_sufficiency_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,dual_auditor_router,deletion_sufficiency_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,dual_auditor_router,entity_frame_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,dual_auditor_router,event_frame_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,dual_auditor_router,paraphrase_preserved,0.8166666666666668,0.07637626158259735,3,0.817 ± 0.076
pairwise,dual_auditor_router,polarity_flip_preserved_and_reversed,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
pairwise,dual_auditor_router,predicate_disentangled,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
pairwise,dual_auditor_router,truncation_sufficiency_lower,1.0,0.0,3,1.000 ± 0.000
internal_faithfulness,classifier_only,entitled_output_count,83.33333333333333,5.033222956847166,3,83.333 ± 5.033
internal_faithfulness,classifier_only,entitled_output_gate_violation_rate,0.222027972027972,0.0658662852882128,3,0.222 ± 0.066
internal_faithfulness,classifier_only,entitled_output_gate_violations,18.333333333333332,4.509249752822894,3,18.333 ± 4.509
internal_faithfulness,classifier_only,polarity_flip_internal_ok,0.6833333333333332,0.20816659994661327,3,0.683 ± 0.208
internal_faithfulness,classifier_only,polarity_flip_output_internal_gap,0.25,0.15,3,0.250 ± 0.150
internal_faithfulness,classifier_only,polarity_flip_output_ok,0.9333333333333332,0.07637626158259735,3,0.933 ± 0.076
