section,system,metric,value
pairwise,conservative_strict_router,polarity_flip_preserved_and_reversed,0.85
pairwise,conservative_strict_router,deletion_sufficiency_lower,1.0
pairwise,conservative_strict_router,truncation_sufficiency_lower,1.0
pairwise,conservative_strict_router,entity_frame_lower,1.0
pairwise,conservative_strict_router,event_frame_lower,1.0
internal_faithfulness,conservative_strict_router,entitled_output_gate_violation_rate,0.0
internal_faithfulness,conservative_strict_router,entitled_output_gate_violations,0
internal_faithfulness,conservative_strict_router,entitled_output_count,74
internal_faithfulness,conservative_strict_router,polarity_flip_output_ok,0.85
internal_faithfulness,conservative_strict_router,polarity_flip_internal_ok,0.85
internal_faithfulness,conservative_strict_router,polarity_flip_output_internal_gap,0.0
internal_faithfulness,conservative_strict_router,polarity_flip_output_ok_but_internal_bad,0
classification,dual_auditor_router,final_accuracy,0.9115384615384615
classification,dual_auditor_router,final_macro_f1,0.8751666607671704
classification,dual_auditor_router,REFUTE_f1,1.0
classification,dual_auditor_router,NOT_ENTITLED_f1,0.9405684754521964
classification,dual_auditor_router,SUPPORT_f1,0.684931506849315
classification,dual_auditor_router,prediction_distribution,"{""NOT_ENTITLED"": 187, ""REFUTE"": 30, ""SUPPORT"": 43}"
pairwise,dual_auditor_router,paraphrase_preserved,0.75
pairwise,dual_auditor_router,predicate_disentangled,0.85
pairwise,dual_auditor_router,polarity_flip_preserved_and_reversed,0.85
pairwise,dual_auditor_router,deletion_sufficiency_lower,1.0
pairwise,dual_auditor_router,truncation_sufficiency_lower,1.0
pairwise,dual_auditor_router,entity_frame_lower,1.0
pairwise,dual_auditor_router,event_frame_lower,1.0
internal_faithfulness,dual_auditor_router,entitled_output_gate_violation_rate,0.0
internal_faithfulness,dual_auditor_router,entitled_output_gate_violations,0
internal_faithfulness,dual_auditor_router,entitled_output_count,73
internal_faithfulness,dual_auditor_router,polarity_flip_output_ok,0.85
internal_faithfulness,dual_auditor_router,polarity_flip_internal_ok,0.85
internal_faithfulness,dual_auditor_router,polarity_flip_output_internal_gap,0.0
internal_faithfulness,dual_auditor_router,polarity_flip_output_ok_but_internal_bad,0
