probe,n,gold_NOT_ENTITLED,gold_SUPPORT,gold_REFUTE,pred_SUPPORT,pred_REFUTE,pred_NOT_ENTITLED,classifier_error,false_entitled,false_entitled_rate,mean_frame_prob,mean_predicate_coverage_prob,mean_sufficiency_prob,mean_entitlement_prob,mean_polarity_margin
number_swap,60,60,0,0,0,0,60,0,0,0.0,0.015915964303227764,0.6548177308868617,0.1015980560167615,0.0016859426786801635,-2.1826258381207784
time_swap,60,60,0,0,60,0,0,60,60,1.0,0.9319352060556412,0.9946344961722692,0.9906462520360947,0.9182908296585083,5.464738424619039
