scope,intervention_type,metric,mean,std,n,formatted
global,__ALL__,spearman_sufficiency_prob__entitlement_prob,-0.19108632491318753,0.004347503489572289,3,-0.1911 +/- 0.0043
global,__ALL__,spearman_sufficiency_prob__polarity_margin,0.41641993469999,0.009439928486727605,3,0.4164 +/- 0.0094
residualized,__ALL_RESIDUALIZED__,n,780.0,0.0,3,780.0000 +/- 0.0000
residualized,__ALL_RESIDUALIZED__,pearson_entitlement_prob__polarity_margin,0.02548998883484925,0.02167675407710337,3,0.0255 +/- 0.0217
residualized,__ALL_RESIDUALIZED__,pearson_frame_prob__entitlement_prob,0.9372324293293847,0.040787050682226204,3,0.9372 +/- 0.0408
residualized,__ALL_RESIDUALIZED__,pearson_frame_prob__polarity_margin,0.026123426220822615,0.02270876917591615,3,0.0261 +/- 0.0227
residualized,__ALL_RESIDUALIZED__,pearson_frame_prob__predicate_coverage_prob,0.359639864596257,0.16731028157817981,3,0.3596 +/- 0.1673
residualized,__ALL_RESIDUALIZED__,pearson_frame_prob__sufficiency_prob,-0.49685364802310733,0.14149345489506915,3,-0.4969 +/- 0.1415
residualized,__ALL_RESIDUALIZED__,pearson_max_abs_off_diagonal,0.9372324293293847,0.040787050682226204,3,0.9372 +/- 0.0408
residualized,__ALL_RESIDUALIZED__,pearson_mean_abs_off_diagonal,0.37206645647867376,0.06842844259320294,3,0.3721 +/- 0.0684
residualized,__ALL_RESIDUALIZED__,pearson_predicate_coverage_prob__entitlement_prob,0.44664919550188964,0.22788965973221686,3,0.4466 +/- 0.2279
residualized,__ALL_RESIDUALIZED__,pearson_predicate_coverage_prob__polarity_margin,0.035192812567463296,0.005110988357706568,3,0.0352 +/- 0.0051
residualized,__ALL_RESIDUALIZED__,pearson_predicate_coverage_prob__sufficiency_prob,-0.4126007534354248,0.19965397800577636,3,-0.4126 +/- 0.1997
residualized,__ALL_RESIDUALIZED__,pearson_sufficiency_prob__entitlement_prob,-0.544231240507746,0.15190751548895917,3,-0.5442 +/- 0.1519
residualized,__ALL_RESIDUALIZED__,pearson_sufficiency_prob__polarity_margin,0.4366512057697927,0.08673067515302335,3,0.4367 +/- 0.0867
residualized,__ALL_RESIDUALIZED__,spearman_entitlement_prob__polarity_margin,-0.001087638126818007,0.05303736965399113,3,-0.0011 +/- 0.0530
residualized,__ALL_RESIDUALIZED__,spearman_frame_prob__entitlement_prob,0.8338958901001244,0.04627022292526367,3,0.8339 +/- 0.0463
residualized,__ALL_RESIDUALIZED__,spearman_frame_prob__polarity_margin,-0.019098726582137963,0.05874216471444067,3,-0.0191 +/- 0.0587
residualized,__ALL_RESIDUALIZED__,spearman_frame_prob__predicate_coverage_prob,0.13653699394958238,0.07256011815560083,3,0.1365 +/- 0.0726
residualized,__ALL_RESIDUALIZED__,spearman_frame_prob__sufficiency_prob,-0.42433903997430006,0.011859819751416771,3,-0.4243 +/- 0.0119
residualized,__ALL_RESIDUALIZED__,spearman_max_abs_off_diagonal,0.8338958901001244,0.04627022292526367,3,0.8339 +/- 0.0463
residualized,__ALL_RESIDUALIZED__,spearman_mean_abs_off_diagonal,0.30169097856502897,0.025658294523769075,3,0.3017 +/- 0.0257
residualized,__ALL_RESIDUALIZED__,spearman_predicate_coverage_prob__entitlement_prob,0.2654648530691038,0.08680001934394133,3,0.2655 +/- 0.0868
residualized,__ALL_RESIDUALIZED__,spearman_predicate_coverage_prob__polarity_margin,0.0029433330876964168,0.08440724842634255,3,0.0029 +/- 0.0844
residualized,__ALL_RESIDUALIZED__,spearman_predicate_coverage_prob__sufficiency_prob,-0.3811946435799641,0.11159231184309211,3,-0.3812 +/- 0.1116
residualized,__ALL_RESIDUALIZED__,spearman_sufficiency_prob__entitlement_prob,-0.43571744116296923,0.025668182734004525,3,-0.4357 +/- 0.0257
residualized,__ALL_RESIDUALIZED__,spearman_sufficiency_prob__polarity_margin,0.3817777195826082,0.00838894430185424,3,0.3818 +/- 0.0084
within_intervention,entity_swap,n,60.0,0.0,3,60.0000 +/- 0.0000
within_intervention,entity_swap,pearson_entitlement_prob__polarity_margin,0.4779511679059329,0.21529631012384082,3,0.4780 +/- 0.2153
within_intervention,entity_swap,pearson_frame_prob__entitlement_prob,0.7552736050545525,0.415331529659302,3,0.7553 +/- 0.4153
within_intervention,entity_swap,pearson_frame_prob__polarity_margin,0.5361830757094358,0.141597544434534,3,0.5362 +/- 0.1416
within_intervention,entity_swap,pearson_frame_prob__predicate_coverage_prob,0.47096183835709216,0.39890156086430095,3,0.4710 +/- 0.3989
within_intervention,entity_swap,pearson_frame_prob__sufficiency_prob,-0.5673482391460642,0.3940861749142734,3,-0.5673 +/- 0.3941
within_intervention,entity_swap,pearson_max_abs_off_diagonal,0.996640239389979,0.0027279544799037507,3,0.9966 +/- 0.0027
within_intervention,entity_swap,pearson_mean_abs_off_diagonal,0.5678426017358257,0.24351898667274485,3,0.5678 +/- 0.2435
within_intervention,entity_swap,pearson_predicate_coverage_prob__entitlement_prob,0.7278196846206839,0.41472652652092246,3,0.7278 +/- 0.4147
within_intervention,entity_swap,pearson_predicate_coverage_prob__polarity_margin,0.35242558832389065,0.30563821057085155,3,0.3524 +/- 0.3056
