section,system,metric,value
classification,classifier_only,final_accuracy,0.8846153846153846
classification,classifier_only,final_macro_f1,0.8644226273959794
classification,classifier_only,REFUTE_f1,1.0
classification,classifier_only,NOT_ENTITLED_f1,0.9193548387096774
classification,classifier_only,SUPPORT_f1,0.6739130434782609
classification,classifier_only,prediction_distribution,"{""NOT_ENTITLED"": 172, ""REFUTE"": 28, ""SUPPORT"": 60}"
pairwise,classifier_only,paraphrase_preserved,0.95
pairwise,classifier_only,predicate_disentangled,0.95
pairwise,classifier_only,polarity_flip_preserved_and_reversed,1.0
pairwise,classifier_only,deletion_sufficiency_lower,1.0
pairwise,classifier_only,truncation_sufficiency_lower,1.0
pairwise,classifier_only,entity_frame_lower,0.95
pairwise,classifier_only,event_frame_lower,1.0
internal_faithfulness,classifier_only,entitled_output_gate_violation_rate,0.20454545454545456
internal_faithfulness,classifier_only,entitled_output_gate_violations,18
internal_faithfulness,classifier_only,entitled_output_count,88
internal_faithfulness,classifier_only,polarity_flip_output_ok,1.0
internal_faithfulness,classifier_only,polarity_flip_internal_ok,0.75
internal_faithfulness,classifier_only,polarity_flip_output_internal_gap,0.25
internal_faithfulness,classifier_only,polarity_flip_output_ok_but_internal_bad,5
classification,balanced_only,final_accuracy,0.8538461538461538
classification,balanced_only,final_macro_f1,0.8385347985347985
classification,balanced_only,REFUTE_f1,1.0
classification,balanced_only,NOT_ENTITLED_f1,0.8956043956043956
classification,balanced_only,SUPPORT_f1,0.62
classification,balanced_only,prediction_distribution,"{""NOT_ENTITLED"": 164, ""REFUTE"": 28, ""SUPPORT"": 68}"
pairwise,balanced_only,paraphrase_preserved,0.95
pairwise,balanced_only,predicate_disentangled,0.9
pairwise,balanced_only,polarity_flip_preserved_and_reversed,1.0
pairwise,balanced_only,deletion_sufficiency_lower,1.0
pairwise,balanced_only,truncation_sufficiency_lower,1.0
pairwise,balanced_only,entity_frame_lower,0.95
pairwise,balanced_only,event_frame_lower,0.8
internal_faithfulness,balanced_only,entitled_output_gate_violation_rate,0.13541666666666666
internal_faithfulness,balanced_only,entitled_output_gate_violations,13
