row_type,intervention_type,target,score,metric,mean,std,n,formatted,state_summary
opportunity,event_swap,not_applicable,not_applicable,mean_polarity_margin,3.8131750014093186,0.5550424482357587,3,3.8132 +/- 0.5550,not_applicable
opportunity,event_swap,not_applicable,not_applicable,mean_polarity_weak_score,-3.8131750014093186,0.5550424482357587,3,-3.8132 +/- 0.5550,not_applicable
opportunity,event_swap,not_applicable,not_applicable,mean_predicate_coverage_prob,0.06808996180253517,0.03794193527999138,3,0.0681 +/- 0.0379,not_applicable
opportunity,event_swap,not_applicable,not_applicable,mean_predicate_fail_score,0.9319100381974649,0.03794193527999137,3,0.9319 +/- 0.0379,not_applicable
opportunity,event_swap,not_applicable,not_applicable,mean_sufficiency_fail_score,0.0009699778424368963,0.00025752150667488193,3,0.0010 +/- 0.0003,not_applicable
opportunity,event_swap,not_applicable,not_applicable,mean_sufficiency_prob,0.9990300221575631,0.0002575215066748761,3,0.9990 +/- 0.0003,not_applicable
opportunity,event_swap,not_applicable,not_applicable,n,60.0,0.0,3,60.0000 +/- 0.0000,not_applicable
opportunity,event_swap,not_applicable,not_applicable,not_entitled_recall,0.9333333333333332,0.04409585518440981,3,0.9333 +/- 0.0441,not_applicable
opportunity,event_swap,not_applicable,not_applicable,opportunity_rate,0.06666666666666667,0.044095855184409845,3,0.0667 +/- 0.0441,not_applicable
opportunity,event_swap,not_applicable,not_applicable,pred_NOT_ENTITLED,56.0,2.6457513110645907,3,56.0000 +/- 2.6458,not_applicable
opportunity,event_swap,not_applicable,not_applicable,pred_REFUTE,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,event_swap,not_applicable,not_applicable,pred_SUPPORT,4.0,2.6457513110645907,3,4.0000 +/- 2.6458,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,classifier_entitled,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,classifier_error,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,entitled_accuracy,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,false_entitled,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,false_entitled_rate,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,false_refute,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,false_support,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
