seed,threshold,system,metric,value
3,0.3,raw_strict_only,paraphrase_preserved,0.85
3,0.3,raw_strict_only,predicate_disentangled,0.8
3,0.3,raw_strict_only,polarity_flip_preserved_and_reversed,0.9
3,0.3,raw_strict_only,deletion_sufficiency_lower,1.0
3,0.3,raw_strict_only,truncation_sufficiency_lower,1.0
3,0.3,raw_strict_only,entity_frame_lower,1.0
3,0.3,raw_strict_only,event_frame_lower,0.9
3,0.3,self_routed_strict,final_accuracy,0.85
3,0.3,self_routed_strict,final_macro_f1,0.8185102409454122
3,0.3,self_routed_strict,NOT_ENTITLED_f1,0.8937329700272479
3,0.3,self_routed_strict,REFUTE_f1,1.0
3,0.3,self_routed_strict,SUPPORT_f1,0.5617977528089888
3,0.3,self_routed_strict,entitled_output_count,93
3,0.3,self_routed_strict,entitled_output_gate_violation_rate,0.0
3,0.3,self_routed_strict,entitled_output_gate_violations,0
3,0.3,self_routed_strict,polarity_flip_output_ok,0.9
3,0.3,self_routed_strict,polarity_flip_internal_ok,0.9
3,0.3,self_routed_strict,polarity_flip_output_internal_gap,0.0
3,0.3,self_routed_strict,polarity_flip_output_ok_but_internal_bad,0
3,0.3,self_routed_strict,paraphrase_preserved,0.85
3,0.3,self_routed_strict,predicate_disentangled,0.8
3,0.3,self_routed_strict,polarity_flip_preserved_and_reversed,0.9
3,0.3,self_routed_strict,deletion_sufficiency_lower,1.0
3,0.3,self_routed_strict,truncation_sufficiency_lower,1.0
3,0.3,self_routed_strict,entity_frame_lower,1.0
3,0.3,self_routed_strict,event_frame_lower,0.9
3,0.4,raw_classifier_only,final_accuracy,0.9
3,0.4,raw_classifier_only,final_macro_f1,0.8686170212765957
3,0.4,raw_classifier_only,NOT_ENTITLED_f1,0.9308510638297872
3,0.4,raw_classifier_only,REFUTE_f1,1.0
3,0.4,raw_classifier_only,SUPPORT_f1,0.675
3,0.4,raw_classifier_only,entitled_output_count,84
3,0.4,raw_classifier_only,entitled_output_gate_violation_rate,0.13095238095238096
3,0.4,raw_classifier_only,entitled_output_gate_violations,11
3,0.4,raw_classifier_only,polarity_flip_output_ok,0.95
3,0.4,raw_classifier_only,polarity_flip_internal_ok,0.85
3,0.4,raw_classifier_only,polarity_flip_output_internal_gap,0.09999999999999998
3,0.4,raw_classifier_only,polarity_flip_output_ok_but_internal_bad,2
3,0.4,raw_classifier_only,paraphrase_preserved,0.95
3,0.4,raw_classifier_only,predicate_disentangled,0.85
3,0.4,raw_classifier_only,polarity_flip_preserved_and_reversed,0.95
3,0.4,raw_classifier_only,deletion_sufficiency_lower,1.0
3,0.4,raw_classifier_only,truncation_sufficiency_lower,1.0
3,0.4,raw_classifier_only,entity_frame_lower,0.95
3,0.4,raw_classifier_only,event_frame_lower,1.0
3,0.4,self_routed_classifier,final_accuracy,0.9038461538461539
3,0.4,self_routed_classifier,final_macro_f1,0.8576938920720517
3,0.4,self_routed_classifier,NOT_ENTITLED_f1,0.9354005167958657
3,0.4,self_routed_classifier,REFUTE_f1,1.0
