seed,scope,intervention_type,n,pearson_mean_abs_off_diagonal,pearson_max_abs_off_diagonal,spearman_mean_abs_off_diagonal,spearman_max_abs_off_diagonal,pearson_frame_prob__predicate_coverage_prob,pearson_frame_prob__sufficiency_prob,pearson_frame_prob__entitlement_prob,pearson_frame_prob__polarity_margin,pearson_predicate_coverage_prob__sufficiency_prob,pearson_predicate_coverage_prob__entitlement_prob,pearson_predicate_coverage_prob__polarity_margin,pearson_sufficiency_prob__entitlement_prob,pearson_sufficiency_prob__polarity_margin,pearson_entitlement_prob__polarity_margin,spearman_frame_prob__predicate_coverage_prob,spearman_frame_prob__sufficiency_prob,spearman_frame_prob__entitlement_prob,spearman_frame_prob__polarity_margin,spearman_predicate_coverage_prob__sufficiency_prob,spearman_predicate_coverage_prob__entitlement_prob,spearman_predicate_coverage_prob__polarity_margin,spearman_sufficiency_prob__entitlement_prob,spearman_sufficiency_prob__polarity_margin,spearman_entitlement_prob__polarity_margin
1,global,__ALL__,780,0.360164942829566,0.5886877262015554,0.4312668998238296,0.7845826956571569,0.5653674713986953,-0.1518906880137015,0.5886877262015554,-0.38672141909766716,-0.047222761958076606,0.5493605000768186,-0.30564326240972234,0.38725102910668063,0.574507461765819,-0.04499710826692331,0.678248063873318,-0.6538331638395006,0.54867537301037,-0.19101494370416924,-0.46045739243744993,0.7845826956571569,-0.10890058886964211,-0.19133448174474116,0.4266609720228505,0.26896132307909776
1,within_intervention,entity_swap,60,0.8463558259994646,0.995099129784888,0.3457793831619894,0.8689636010002778,0.9312040472071793,-0.9479548387114076,0.995099129784888,0.6946231765909803,-0.9893908875784307,0.9331880473273093,0.6976072006807248,-0.9444741566490765,-0.653580831396819,0.6764359440678294,0.40494581828285636,-0.02467352042233954,0.7583773270352876,0.36087802167268684,0.002667407613225896,0.8689636010002778,0.4078355098638511,0.0038343984440122256,0.2860238955265351,0.3395943317588219
1,within_intervention,event_swap,60,0.9319695558381438,0.9960372137990201,0.637016620566005,0.9352597943873299,0.9217823894104461,-0.9622550344182778,0.9960372137990201,0.8699930366995428,-0.9744665716610682,0.9105509312853357,0.9305435580714575,-0.9651575850624406,-0.9273812399713739,0.8615279980024754,0.5141428174492915,-0.5312808262808351,0.9352597943873299,0.6365657126979717,-0.5561776683492257,0.7381494859683245,0.6497916087802167,-0.5661530771690384,-0.5341706383066304,0.7084745762711865
1,within_intervention,evidence_deletion,60,0.5091239663043127,0.9987603536961874,0.5821136190943283,0.9958321756043346,0.16659267152702764,0.3007503276143337,0.3477188659082864,-0.4951712659302281,0.5585723902461144,0.5600172672759212,-0.21856686063685346,0.9987603536961874,-0.716002709124747,-0.7290869510834278,0.06918684617014136,0.6436232286746318,0.6844123367602112,-0.6382328424562378,0.5681379291730443,0.5693605079808701,-0.1763292071468743,0.9958321756043346,-0.7318143928869131,-0.744206724090025
1,within_intervention,evidence_truncation,60,0.34047710180186336,0.9814752542204224,0.32648513475965546,0.9472631286468464,0.6468924244993147,-0.0738335364127848,0.11751058709624398,0.18290606764378625,-0.07618345133024242,0.0413775210953264,0.12234046906721185,0.9814752542204224,-0.6005326467723484,-0.5617190598809523,0.30880800222283966,0.21528202278410669,0.3577660461239233,0.1974993053626007,0.012670186162823007,0.11119755487635455,0.16237843845512642,0.9472631286468464,-0.5010280633509309,-0.45095859961100304
1,within_intervention,irrelevant_evidence,60,0.5535998463744702,0.9465425513772444,0.6540483467629897,0.933981661572659,0.24374997306334156,-0.7647091890120438,-0.5317771631153128,-0.807436046645846,-0.16864154012176236,-0.020554538312437337,-0.6170202654322344,0.9465425513772444,0.8013202191111147,0.6342469775533649,0.2855793275909975,-0.9178660739094193,-0.5451514309530425,-0.8376771325368157,-0.49224784662406224,-0.41367046401778274,-0.5973881633787164,0.7882745207001945,0.933981661572659,0.7286468463462072
1,within_intervention,location_swap,60,0.42045528128487575,0.9992338665162415,0.5443623228674632,0.9993887190886357,0.02123226066539888,-0.7027807092370046,0.9992338665162415,0.41622076620898807,-0.4538857019187997,0.02915157845558919,0.019877420106462103,-0.714391197480828,-0.42899978978911196,0.41877952247033345,0.14826340650180606,-0.860350097249236,0.9993887190886357,0.6297304806890803,-0.504584606835232,0.15887746596276744,0.0252292303417616,-0.8650736315643234,-0.6200055570991942,0.6321200333425951
1,within_intervention,none,60,0.6215350380042991,0.9546036683686653,0.6769222732206417,0.9931091969991664,0.43333440476992346,-0.7152731398285131,0.9546036683686653,-0.5618662767651452,-0.46820992284869556,0.6766494366622173,-0.27380469396340595,-0.6935753271513599,0.9388128322073387,-0.4992206774777258,0.560385668096149,-0.7340928035565435,0.9931091969991664,-0.482745207001945,-0.8563886689999706,0.5354061601817084,-0.7000652968902455,-0.6907474298416226,0.7961100305640456,-0.42017227007502084
1,within_intervention,paraphrase,60,0.4691711954743824,0.9920536114738522,0.5240233398166156,0.9189219227563212,0.12986284845295853,-0.41199716895804755,0.9920536114738522,-0.2603925833535796,-0.5775101034941494,0.24619675868144292,-0.4169287971470233,-0.43962998630166183,0.9497639567182831,-0.2673761401628258,0.17365934981939427,-0.45629341483745484,0.9189219227563212,-0.29580439010836346,-0.8386774103917755,0.30875243123089746,-0.6969158099472076,-0.5655459849958322,0.7382606279522089,-0.24740205612670185
1,within_intervention,polarity_flip,60,0.38229932608858996,0.9988023344557878,0.39161660444037977,0.9927757710475132,0.08975732031286433,-0.12238792000080002,0.9988023344557878,0.0487922198547625,-0.7074889783294207,0.07366030627703857,-0.6689180471676238,-0.0784667839967643,0.9438461058224082,0.09087324466842893,0.17788521653865258,-0.24973603778827452,0.9927757710475132,-0.10897471519866629,-0.7254615930346268,0.11292182443190943,-0.6155962156222818,-0.15898860794665184,0.7461517088080022,-0.02767435398721867
1,within_intervention,predicate_swap,60,0.4984767856056284,0.9998156491330309,0.45516764000506377,0.9867185329258127,-0.17522445322003344,0.08769167794772631,-0.16273334910755577,-0.16335693904078466,-0.8354931682863904,0.9998156491330309,0.5233820764832019,-0.835157318943955,-0.6806822864767307,0.5212309374168753,0.14376215615448737,-0.2656886036461412,0.23095304251180884,-0.03767713253681578,-0.4964503536232593,0.9867185329258127,0.7518755209780494,-0.5422692730347304,-0.3628558329862956,0.733425951653237
1,within_intervention,role_swap,60,0.3689809922267455,0.9445644220372166,0.4368546818560711,0.9915532092247846,-0.4275883084177818,-0.5888329357498496,0.9445644220372166,0.22471912847775866,-0.2499057563844112,-0.17822702578172464,-0.13628183481073244,-0.6995281884562452,-0.018192135972194413,0.2219701861795408,-0.09035843289802722,-0.549319255348708,0.9915532092247846,0.5349819394276187,-0.5607668796888025,-0.05384829119199778,-0.46351764378994165,-0.5737704918032787,-0.021894970825229232,0.5285357043623229
1,within_intervention,time_swap,60,0.5177270344859055,0.9684832008694737,0.36406779661016947,0.995665462628508,0.2851954229454046,-0.558940389978923,0.9684832008694737,0.22039073377891494,-0.6477277874484563,0.5143067285495085,0.59465774161394,-0.6560915858705548,-0.37956409310095957,0.35191266070291943,0.1143651014170603,-0.498916365657127,0.995665462628508,0.14998610725201444,-0.46874131703250904,0.14698527368713532,0.4501806057238122,-0.500805779383162,-0.13120311197554876,0.183828841344818
