threshold,system,final_accuracy,final_macro_f1,NOT_ENTITLED_f1,REFUTE_f1,SUPPORT_f1,entitled_output_count,entitled_output_gate_violation_rate,entitled_output_gate_violations,polarity_flip_output_ok,polarity_flip_internal_ok,polarity_flip_output_internal_gap,polarity_flip_output_ok_but_internal_bad,paraphrase_preserved,predicate_disentangled,polarity_flip_preserved_and_reversed,deletion_sufficiency_lower,truncation_sufficiency_lower,entity_frame_lower,event_frame_lower,classifier_entitled_count,routed_entitled_count,downgraded_count,downgrade_rate_among_classifier_entitled,downgraded_gold_support_count,support_recall_pre_router,support_recall_post_router,support_recall_drop,support_precision_pre_router,support_precision_post_router,support_precision_gain,false_support_removed_count,false_refute_removed_count,retained_violation_rate,pre_router_candidate_gate_fail_rate,pre_router_candidate_gate_fail_count
0.3,conservative_balanced_router,0.9282051282051282,0.903939380379171,0.9511343804537522,1.0,0.7606837606837606,234,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,1.0,0.9666666666666667,235,234,1,0.00425531914893617,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,1,0.0,0.00425531914893617,1
0.3,conservative_strict_router,0.926923076923077,0.901792413138887,0.9502183406113537,0.994475138121547,0.7606837606837606,235,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667,235,235,0,0.0,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,0,0.0,0.0,0
0.3,dual_auditor_router,0.9282051282051282,0.903939380379171,0.9511343804537522,1.0,0.7606837606837606,234,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,1.0,0.9666666666666667,235,234,1,0.00425531914893617,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,1,0.0,0.00425531914893617,1
0.4,conservative_balanced_router,0.9282051282051282,0.903939380379171,0.9511343804537522,1.0,0.7606837606837606,234,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,1.0,0.9666666666666667,235,234,1,0.00425531914893617,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,1,0.0,0.00425531914893617,1
0.4,conservative_strict_router,0.926923076923077,0.901792413138887,0.9502183406113537,0.994475138121547,0.7606837606837606,235,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667,235,235,0,0.0,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,0,0.0,0.0,0
0.4,dual_auditor_router,0.9282051282051282,0.903939380379171,0.9511343804537522,1.0,0.7606837606837606,234,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,1.0,0.9666666666666667,235,234,1,0.00425531914893617,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,1,0.0,0.00425531914893617,1
0.5,conservative_balanced_router,0.9307692307692308,0.9067343505947375,0.9529616724738676,1.0,0.7672413793103449,232,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,1.0,0.9666666666666667,235,232,3,0.01276595744680851,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6267605633802817,0.008705007824726163,2,1,0.0,0.01276595744680851,3
0.5,conservative_strict_router,0.926923076923077,0.901792413138887,0.9502183406113537,0.994475138121547,0.7606837606837606,235,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667,235,235,0,0.0,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6180555555555556,0.0,0,0,0.0,0.0,0
0.5,dual_auditor_router,0.9307692307692308,0.9067343505947375,0.9529616724738676,1.0,0.7672413793103449,232,0.0,0,1.0,1.0,0.0,0,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,1.0,0.9666666666666667,235,232,3,0.01276595744680851,0,0.9888888888888889,0.9888888888888889,0.0,0.6180555555555556,0.6267605633802817,0.008705007824726163,2,1,0.0,0.01276595744680851,3
0.6,conservative_balanced_router,0.9294871794871795,0.9046790169505575,0.9521322889469104,1.0,0.7619047619047619,231,0.0,0,0.9833333333333333,0.9833333333333333,0.0,0,1.0,0.9666666666666667,0.9833333333333333,1.0,1.0,1.0,0.9666666666666667,235,231,4,0.01702127659574468,1,0.9888888888888889,0.9777777777777777,0.011111111111111183,0.6180555555555556,0.624113475177305,0.006057919621749397,2,1,0.0,0.01702127659574468,4
