threshold,system,intervention_type,metric,mean,std,n,formatted
0.3,conservative_balanced_router,event_swap,classifier_macro_f1,0.32956685499058386,0.0032618659276249743,3,0.330 +/- 0.003
0.3,conservative_balanced_router,event_swap,downgrade_rate_among_classifier_entitled,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,downgraded_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,false_refute_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,false_refute_removed_rate_among_classifier_false_refute,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,false_support_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,false_support_removed_rate_among_classifier_false_support,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,gold_NOT_ENTITLED_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,gold_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,gold_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,macro_f1_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,n_examples,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,pairwise_applicable_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,pre_router_candidate_gate_fail_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,pre_router_candidate_gate_fail_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,raw_classifier_pairwise_success_count,58.666666666666664,1.1547005383792515,3,58.667 +/- 1.155
0.3,conservative_balanced_router,event_swap,raw_classifier_pairwise_success_rate,0.9777777777777779,0.01924500897298752,3,0.978 +/- 0.019
0.3,conservative_balanced_router,event_swap,refute_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,refute_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,refute_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,refute_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,refute_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,refute_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,routed_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,routed_SUPPORT_count,1.3333333333333333,1.1547005383792515,3,1.333 +/- 1.155
0.3,conservative_balanced_router,event_swap,routed_accuracy,0.9777777777777779,0.01924500897298752,3,0.978 +/- 0.019
0.3,conservative_balanced_router,event_swap,routed_entitled_count,1.3333333333333333,1.1547005383792515,3,1.333 +/- 1.155
0.3,conservative_balanced_router,event_swap,routed_macro_f1,0.32956685499058386,0.0032618659276249743,3,0.330 +/- 0.003
0.3,conservative_balanced_router,event_swap,router_pairwise_success_count,58.666666666666664,1.1547005383792515,3,58.667 +/- 1.155
0.3,conservative_balanced_router,event_swap,router_pairwise_success_rate,0.9777777777777779,0.01924500897298752,3,0.978 +/- 0.019
0.3,conservative_balanced_router,event_swap,self_routed_balanced_pairwise_success_count,56.666666666666664,2.0816659994661326,3,56.667 +/- 2.082
0.3,conservative_balanced_router,event_swap,self_routed_balanced_pairwise_success_rate,0.9444444444444443,0.03469443332443553,3,0.944 +/- 0.035
0.3,conservative_balanced_router,event_swap,self_routed_classifier_pairwise_success_count,59.0,1.0,3,59.000 +/- 1.000
0.3,conservative_balanced_router,event_swap,self_routed_classifier_pairwise_success_rate,0.9833333333333334,0.016666666666666663,3,0.983 +/- 0.017
0.3,conservative_balanced_router,event_swap,support_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,support_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,support_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,support_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,support_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,support_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,accuracy_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,classifier_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,classifier_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,classifier_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,classifier_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,classifier_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,downgrade_rate_among_classifier_entitled,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,downgraded_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,false_refute_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,false_refute_removed_rate_among_classifier_false_refute,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,false_support_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,false_support_removed_rate_among_classifier_false_support,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,gold_NOT_ENTITLED_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,gold_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,gold_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,macro_f1_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,n_examples,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,pairwise_applicable_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,pre_router_candidate_gate_fail_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,pre_router_candidate_gate_fail_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,raw_classifier_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
