threshold,system,final_accuracy,final_macro_f1,NOT_ENTITLED_f1,REFUTE_f1,SUPPORT_f1,entitled_output_count,entitled_output_gate_violation_rate,entitled_output_gate_violations,polarity_flip_output_ok,polarity_flip_internal_ok,polarity_flip_output_internal_gap,polarity_flip_output_ok_but_internal_bad,paraphrase_preserved,predicate_disentangled,polarity_flip_preserved_and_reversed,deletion_sufficiency_lower,truncation_sufficiency_lower,entity_frame_lower,event_frame_lower
0.3,conservative_balanced_router,0.9115384615384615,0.8778643578643579,0.9402597402597402,1.0,0.6933333333333334,75,0.0,0,0.85,0.85,0.0,0,0.8,0.85,0.85,1.0,1.0,1.0,1.0
0.3,conservative_strict_router,0.9115384615384615,0.8778643578643579,0.9402597402597402,1.0,0.6933333333333334,75,0.0,0,0.85,0.85,0.0,0,0.8,0.8,0.85,1.0,1.0,1.0,1.0
0.3,dual_auditor_router,0.9153846153846154,0.8819026280166177,0.9430051813471503,1.0,0.7027027027027027,74,0.0,0,0.85,0.85,0.0,0,0.8,0.85,0.85,1.0,1.0,1.0,1.0
0.4,conservative_balanced_router,0.9153846153846154,0.8819026280166177,0.9430051813471503,1.0,0.7027027027027027,74,0.0,0,0.85,0.85,0.0,0,0.8,0.85,0.85,1.0,1.0,1.0,1.0
0.4,conservative_strict_router,0.9115384615384615,0.8778643578643579,0.9402597402597402,1.0,0.6933333333333334,75,0.0,0,0.85,0.85,0.0,0,0.8,0.8,0.85,1.0,1.0,1.0,1.0
0.4,dual_auditor_router,0.9153846153846154,0.8819026280166177,0.9430051813471503,1.0,0.7027027027027027,74,0.0,0,0.85,0.85,0.0,0,0.8,0.85,0.85,1.0,1.0,1.0,1.0
0.5,conservative_balanced_router,0.9153846153846154,0.8819026280166177,0.9430051813471503,1.0,0.7027027027027027,74,0.0,0,0.85,0.85,0.0,0,0.8,0.85,0.85,1.0,1.0,1.0,1.0
0.5,conservative_strict_router,0.9076923076923077,0.8711665032908557,0.9378238341968912,1.0,0.6756756756756757,74,0.0,0,0.85,0.85,0.0,0,0.75,0.8,0.85,1.0,1.0,1.0,1.0
0.5,dual_auditor_router,0.9115384615384615,0.8751666607671704,0.9405684754521964,1.0,0.684931506849315,73,0.0,0,0.85,0.85,0.0,0,0.75,0.85,0.85,1.0,1.0,1.0,1.0
0.6,conservative_balanced_router,0.9153846153846154,0.8819026280166177,0.9430051813471503,1.0,0.7027027027027027,74,0.0,0,0.85,0.85,0.0,0,0.8,0.85,0.85,1.0,1.0,1.0,1.0
0.6,conservative_strict_router,0.9076923076923077,0.868270332187858,0.9381443298969072,1.0,0.6666666666666666,72,0.0,0,0.85,0.85,0.0,0,0.7,0.8,0.85,1.0,1.0,1.0,1.0
0.6,dual_auditor_router,0.9115384615384615,0.8723101246726287,0.9408740359897172,1.0,0.676056338028169,71,0.0,0,0.85,0.85,0.0,0,0.7,0.85,0.85,1.0,1.0,1.0,1.0
0.7,conservative_balanced_router,0.9115384615384615,0.8751666607671704,0.9405684754521964,1.0,0.684931506849315,73,0.0,0,0.85,0.85,0.0,0,0.85,0.85,0.85,1.0,1.0,1.0,1.0
0.7,conservative_strict_router,0.9038461538461539,0.8520411148602524,0.9367088607594937,0.9830508474576272,0.6363636363636364,65,0.0,0,0.8,0.8,0.0,0,0.85,0.8,0.8,1.0,1.0,1.0,1.0
0.7,dual_auditor_router,0.9038461538461539,0.8520411148602524,0.9367088607594937,0.9830508474576272,0.6363636363636364,65,0.0,0,0.8,0.8,0.0,0,0.85,0.8,0.8,1.0,1.0,1.0,1.0
